id,wh
18,ஆஹ் அதான் ஈவ்னிங் போல
19,ஆஹ் சரி சரி
20,புதுசா பக்கம் டுவென்ட்டி போர் வாட்டி வந்துருக்கு
21,டுவென்ட்டி போர் வந்துருக்கு மெட்ரோ கம்பெனில வந்து டுவென்ட்டி டூ வாட்ஸ் வந்துருக்கு நீங்க எதுக்குங்க அதே போல கம்மி பட்ஜெட்ல வேணுமா
22,நீங்க மெட்ரோ போட்டுக்க மெட்ரோ நூத்தி தொண்ணூறு ரூபா கிட்ட தான் வரும்
23,உங்களுக்கு எத்தனை லைட் வேணும்
24,நானூறு அந்த எமர்ஜின் சிலர்
25,என்ஜி செய்வீங்க அது கம்பெனி இருக்கு இருக்கு உங்களுக்கு எது மாதிரி வரும்
26,வீட்ல குடுத்துருவா அது நானூறு ரூபா வராது நானூத்தி எண்பது ரூபா கிட்ட வருவாரு
27,அது நாலு மணி நேரம் நீங்க ஜார்ஜ் போட்டு வச்சுக்கங்க சிக்ஸ் பேக்கப் கொடுக்கும்
28,அது நார்மலா நீங்க காப்பார் வச்சு கூட யூஸ் பண்ணிக்கலாம்
29,நீங்க ஜார்ஜ் போட்டு ஒரு நாள் மன்னர் ஜார்ஜ் போட்டு சிங்கா கடந்த போட்டா அதுவா எரியும்
30,அதுக்கு லைட் ஆன்லைன் இருக்கனும்னு அவசியமில்லை ஃபர்ஸ்ட் நீங்க ஜார்ஜ் போடுற வரைக்கும் ஒரு நாலு மணி நேரம் ஜார்ஜ் போடுற வரைக்கும் லைட் எரிஞ்சா போதும் அதுக்கப்புறம் நீங்க ஆஃப் பண்ணிக்கோங்க கரண்ட் போனவுடன் நீங்க ஆன் பண்ணா கூட லைட் எரிஞ்சுது
31,அந்த சச்சின் அது ஏரியா
32,அதெல்லாம் நான் ஈவ்னிங் போல வரேன் இப்ப நான் ஒரு ஒர்க் இருக்கேன் முடிச்சுட்டு ஈவ்னிங் போல பாட்டு குடுத்துறேன் நீங்க மட்டும் அனுப்பிடுங்க
33,உம்ம் சரி
34,கலையாகட்டும் கைவினைப் பொருள்களாகட்டும் முதலில் எல்லாமே கைகளால வரைஞ்சு
35,அது வந்து செஞ்சுட்டு இருந்தாங்க இப்ப உலகத்துக்கு எல்லாத்தையும் பாத்துட்டு த்ரீ டி ஆர் வந்துருச்சு த்ரீ டி மாதிரி நம்ம நேசமா பாக்குற மாதிரி எல்லாமே
36,செய்ய ஆரம்பிச்சிட்டாங்க அதே மாதிரி முதல்ல குருகுலம் மாதிரி இன்னொருத்தன்கிட்ட போயி அவங்க வீட்லயே இருந்து அவங்களுக்கான பணிவிடைகள் செய்துதான் கலைகளை கத்துக்கிட்டு இருந்தாங்க இப்பல்லாம் அப்படி இல்ல
37,பள்ளி படிக்கிற மாதிரி பாடம் படிக்கிற மாதிரி கலைகளுக்கான பள்ளிகளும் திறக்கப்பட்டு நிறைய இடத்தில் கலைகள் கத்துக்க
38,கல்லூரிகள் பள்ளிகள் கல்லூரிகள் எல்லாமே வந்துருச்சு அதுல போய் கத்துக்கிட்டு இப்ப
39,படிக்க முடியாது நினைச்சவங்க கூட எல்லாமே கலைகளை கத்துக்க ஆரம்பிச்சுட்டாங்க அதேமாதிரி கைவினைப் பொருள்களும் அப்படிதான் டிஜிட்டல் ஆட்டு வந்துருச்சு அதுல எல்லாமே
40,கையில வரைஞ்சு புக்க பாத்து படிச்சிட்டு இருந்தாங்க பல கணிப்பொறி மூலம் வந்து தெரியாதவங்க கூட கணிப்பொறி மூலமாகத் திட்டு அதை எல்லாமே செய்ய ஆரம்பிச்சுட்டாங்க
41,ஹலோ சொல்லுங்க
42,போன எப்ப சார் என்ன கிழமை
43,எங்க சார்
44,எப்ப சார் குடுத்தீங்க போன வருமா
45,போன வாரம் ஒரே பந்த் போட்டு சாப்பிட்டாங்க
46,சரி சரி சரி நீங்க இருக்கீங்க
47,ஒரு நாள் இன்னிக்கு என்ன தங்கிய போல நேரடி வந்து கம்பெனி குடுங்க அந்த பாக்ஸ் வீட்டுல அவங்க ஃபோன் வாங்க பாக்ஸ்
48,எந்த தொலைச்சு
49,அந்த இந்த குணசேகரன் மட்டும் தான் போன் திருடுவான் நான் புடிச்சு விசாரிக்க பாக்குறேன்
50,ஆ நீங்க
51,எடுத்துக்காட்டு போலீஸ் பாக்ஸ் எடுத்தாங்க
52,அதுதான் புதன்காம் வருஷம் அங்க தான் இருப்பேன் நீங்க வந்து நேரம் பாருங்க
53,பதினோரு மணிக்கு வாங்கலாம் கேட்டா
54,ஆஹ்
55,பத்து முக்கியம் ஒருவாள் பாக்க முடியாது சார் என்ன என்ன போய் தேடும் பிடிக்கணும் அவங்க அப்புறம் அவங்க அவங்க கூட்டம் தெரிஞ்சுடும் ஃபோன் பாக்க
56,நீங்க வந்துடுங்க பண்ணிக்கலாம்
57,பாக்குறீங்க
58,ஆமா
59,சொல்லுங்க
60,பாத்தீங்களா சொல்லுங்க
61,சரிங்க
62,இப்ப வருஷம் லெவன் ஸ்டாண்டர்ட் வருஷம்தான் அவங்க தான் பேசுறது
63,என்ன விஷயம்
64,ரெண்டு நாள் லீவ் என்று கேட்கிறீர்களா சார்
65,உங்களுக்கே தெரியும் வந்து ஸ்டாண்டர்ட் படிக்கிறாங்க போன்ல டுவல்வ் போன் ஸ்டார்ட் பண்ணியாச்சு இப்ப போய் ரெண்டு நாள் லீவ் வேணும்னு கேக்குறது வந்து அவங்களுக்கு தான் டிபிகல் இருக்கும்
66,ரொம்ப முக்கியமான விஷயமா இருந்தா நீங்க
67,நடக்கிறது.
68,அப்டின்னா
69,வீட்ல
70,இப்ப பாப்பா வீட்ல தனியா விட்டுட்டு போறதுக்கு உங்களுக்கு பிராப்ளமா இருக்குது அப்டின்னா நான் இங்க ஹாஸ்டல்ல கூட கேட்டு உங்களுக்கு பர்மிஷன் வாங்கி தரேன் நீங்க எங்க கூட விட்டுட்டு போலாம் சார் அப்படியா திங்க் பண்ணி பாருங்கள்
71,இப்ப இப்ப நீங்க நார்மல் கிளாஸ் வச்சா நீங்க கேக்குறது நியாயமா இருக்கும் சார் இப்ப எக்ஸாம் நடந்துட்டு இருந்தது என்ன பண்றது சார் எக்ஸாம் அந்த டைம்ல நீங்க கேக்குற டைம்ல கிளாஸ் டெஸ்ட் எதாவது சொல்லிருக்காங்க மத்த சப்ஜெக்ட் தெரியல
72,நான் வந்து கம்ப்யூட்டர் சைன்ஸ் எடுத்துட்டு இருக்கேன் இப்ப சிக்ஸ் கெமிஸ்ட்ரி எக்ஸாம் சொல்லிருந்தாங்க அந்த டெஸ்ட் எப்படி எழுதுறது
73,அது வந்து அந்த படிக்கட்டுதான் நம்ம கேக்க முடியும் அவங்க என்ன சொல்லிருக்காங்க ஏதாவது அசைன்மெண்ட் குடுத்துருக்காங்க இல்ல டெஸ்ட் எதாவது வைக்கிறார்களா தெரியல
74,அது இல்லாம மார்க் பாத்தீங்களா சார் இதுக்கு முன்னாடி நடந்த டெஸ்ட் மார்க் தான் உங்களுக்கு வீட்டுக்கு வந்திருந்தாங்க
75,எல்லாம் நல்லா இருக்கீங்களா
76,பர்சன்டேஜ் எவ்ளோ இருக்குங்க சார்
77,சார் நீங்க இவ்ளோ கேக்குறது வேணா ஒருவன் கொடுக்கும் சார் முடிஞ்சவரைக்கும் ஒரு நாள் நீங்க ரிட்டர்ன் வந்து மாதிரி பாருங்க சார்
78,ஓகே
79,ஓகே சார் தேங்க்யூ.
80,ஐந்து ஏழு ஜீரோ இரண்டு இரண்டு ஒன்று என்னும் பின்கோடு கொண்ட பகுதியில் ஏதேனும் கட்டண கோவெக்ஸ் தடுப்பூசி மையம் அருகில் இருக்கிறதா
81,புது நியூஸ் டேக்
82,இந்த காலங்களிலிருந்து இந்த காலங்கள் ஒரு சில இடத்துல செய்யற விஷயம் என்ன அப்படின்னா வாசல்ல மாட்டுச் வந்து கரைக்கிறது தான்
83,மாட்டு சன்னத்துல வந்துட்டு கிருமிநாசினி இருக்கறதுனால எந்தவிதமான கிருமிகளையும் வீட்டுக்குள் ஆண்ட விடாது அப்படின்னு அறிவியல்பூர்வமா சொல்லிட்டு இருக்காங்க
84,ஆரம்ப காலத்தில் வந்து எல்லார் வீட்லயும் வந்து இந்த மாட்டு வந்து முழுக்க வீடுதான் இருக்கும் என கனிமண்டு வீடு அந்த வீடு எப்ப வேணாலும் தனிப்பட்டு தாக்குதல் வீடு ஃபுல்லா மாடுச் மொழி வச்சிருப்பாங்க
85,அவர் முன்னோர்கள் ரொம்ப அறிவாளி அவங்களுக்கு இதெல்லாம் தெரிஞ்சிருக்கு கிருமிநாசினி இப்படிதான் பயன்படுத்தும் அப்படின்னா யோசிச்சு வச்சிருக்காங்க
86,இன்னும் ஒரு ஏழாம் அறிவு ஒரு படத்துல கூட சொல்லுவாரு அந்த மூவி முடிய போற அந்த லாஸ்ட் ஒரு அஞ்சு நிமிஷத்துக்கு முன்னாடி சூர்யா வந்து ஒரு இன்டர்வியூ பேசுற மாதிரி காமிச்சு இருப்பாங்க
87,எதுக்கு தண்ணி வந்து வாசல்ல மாட்டு திருச்சி கோலம் பண்ணும் அது கிருமிநாசினி விட்டுட்டு டிசைன் ஸ்டிக்கர் வாங்கி விட்டாங்க அப்படின்னு சொல்லிருப்பார்
88,அப்ப இப்ப இருக்குற பசங்கள இருந்து எல்லாரும் மாட்டா மாட்டுச்சு இதெல்லாம் தொட மாட்டேன் அப்படிங்கற ஒரு மனநிலை இருக்காங்க
89,எங்க ஊர்ல கூட இப்போ ஒரு சில கிராமங்கள் இன்னும் இந்த வந்து பின்பாட்டு தான் இருக்காங்க ஒரு சில வீட்ல வந்து இதெல்லாம் பண்ணாம இன்னும் இருக்க தான் செய்றாங்க
90,என் ஏர்டெல் பேமென்ட் பேங்க் கணக்கில் தொண்ணூறாயிரம் இருக்குமா
91,சந்தோஷமாக
92,காட்சி
93,இன்னைக்கு வெயில் அடிக்குது இல்லையா
94,நாங்க இருக்குற இடத்துல வந்து காடு இருக்குது அங்க வந்து காட்டு பண்ணுங்க பாம்பு குடிக்கட்டி கடிக்கிற தந்து இதெல்லாம் இருக்குது அங்க போனா வந்து உங்களுக்கெல்லாம் மக்களுக்கு கொஞ்சம் ஆபத்து இருக்குது
95,அங்க ஆபத்து இருக்குது அங்க வந்து அப்புறம் அது போக குட்டைகள் குட்டைகள் தண்ணி நிறைய இருக்கு தண்ணி கம்மியா இருக்குன்னு சொல்லி இறங்கி ஆழமான உள்ள போய் டெத் வாங்க அதனால கொஞ்சம் பாதுகாப்பா இருக்கணும்
96,விலங்குகள் வந்து அங்க முதல் இந்த மாதிரி விலங்குகள் இருக்குது கொஞ்சம் பாத்து இருக்கணும் மரங்கள் இருக்கும்போது ஒவ்வொரு மரம் கொஞ்சம் தான் கீழ விழுந்துடும் அதெல்லாம் பாத்து பத்திரமா இருக்கணும் இருக்குது
97,பூங்காக்கள் போன கொஞ்சம் குழந்தைங்க போய் அதுல போய் கை வைப்பாங்க பூச்சிகள் ஒவ்வொரு கடிச்சு வைக்கும் அந்த இதெல்லாம் இருக்குது அதனால பாத்து இது பண்ணிக்கணும்
98,அந்த கோட்டைக்கு துணி துவக்கிக் போக போனா பாதுகாப்பு இருப்பாங்க காட்டுக்குள் வரவேற்று போகும்போது இதுக்கு போகும்போது குழந்தை எல்லாருமே பாதுகாப்பு இருக்கணும்
99,ஹலோ முனியாண்டி வில்லாசங்களா புண்டு பண்ணிருந்தாங்க பார்த்துக்கிட்டே இருந்தாங்க எங்க மணி எட்டாயிரம் போச்சுங்க இன்னும் காணுங்க
100,நீங்க லேட்டா ஒன்னும் முதல்ல சொல்லிருக்கலாம்ல இவ்ளோ லேட்டா ஆகுதுங்களே ரொம்ப டைம் ஆகிப்புச்சு நைட் மணிக்கு பண்ணிட்டீங்களே ஏங்கன்னு கொண்டுட்டு வரல
101,அப்படி அவர் வரதுக்கு லேட்டாச்சுன்னா நீங்க வேற ஏதாச்சு ஏற்பாடு பண்ணிருக்காங்க சொல்லிருந்தா நான் வேற எங்கயாச்சு ஏற்பாடு பண்ணிருக்கிறேன்லைங்க
102,சரி சரிங்க சரி அப்புறம் அப்படின்னா நீங்க வந்து வேற யாராச்சும் ஒருத்தர பாத்து ஏற்பாடு பண்ணி அனுப்பி சுடுங்க டைம் அதுங்க கொஞ்சம் குவிக்க சுடுங்க நானும் அமௌன்ட் எல்லாம் போன் பண்ணிட்டாங்க
103,பசிக்குதுங்க பயங்கரமா நீங்க வந்து கொஞ்சம் சீக்கிரமா குறிக்க பாத்து டிராபிக் ஜாம்லா அவங்க கொஞ்சம் பாத்து கொஞ்சம் சீக்கிரம் அனுப்பிட்டீங்கன்னா அவர் வந்து ஏதாச்சு என்ன டெல்லியில் அம்மாவுடைய கேக்க போறாருங்க சரிங்க நீங்க பாத்து அனுப்பிச்சிடுங்க பாக்கலாம் சட்டனா சரிங்க ஓகேங்க சரிங்க சரிங்க
104,சரி பாத்து சொல்லுங்க சீக்கிரமா அனுப்புங்க சரி கரெக்டா அந்த டைம் கொண்டு இப்போ அரைமணி நேரம் லேட்டாக இன்னும் லேட்டா போதுங்க
105,சரிங்க லெயிட் பண்ணிட்டு இருக்காங்க உம்ம் கண்டிப்பா அனுப்பி சுடுங்க ஓகே ரொம்ப டான்ஸ்
106,ஹலோ சார் வணக்கம் சார்
107,வில்லேஜ் சின்ன ஓப்பன் பண்ணலாம்
108,பியூச்சர்ல போய்ட்டு இருக்கேன்
109,இப்ப வந்து ஒரிஜினல் பாட்டு இந்த மாதிரி மார்க் வரும்னு சொல்லிட்டு இருக்காங்க
110,அது வந்து
111,சரி
112,இந்த வருத்த டிஸ்கவுண்ட் வில்லேஜ் ஓப்பன் பண்ண டிஸ்கவுண்ட் இருக்கீங்களா சார்
113,இந்த வாரம் பாத்தீங்கன்னா
114,மண்புழு வரலாம்
115,ஆஹ்
116,சரி சரி சரி
117,சரி
118,போன் இருக்கிறது இப்ப ரொம்ப யூஸ்ஃபுல்லா இருக்கு போன் இருந்தாதான் இப்ப எல்லாமே இப்ப எடுத்துக்க போனா அப்படின்னா இப்ப ஒருத்தன் உங்களுக்கு நம்ம காசு வேணும் அப்படின்னா நம்ம உடனே நம்ம கைல காசு அக்கவுண்ட்ல இருக்கும் நம்ம கைல இருக்காது உங்களுக்கு இப்ப ஜிபி பண்ணலாம் போன் பேட்டி இந்தமாதிரி முடியுமா காசு அனுப்பிக்கலாம் இப்ப போன்
119,போட்டோ எடுக்கணும் அப்படின்னா முன்னால ஸ்டூடியோக்கு தான் போவோம் ஆனா இப்பல்லாம் அப்டி இல்ல நம்ம நம்ம போட்டோ எடுத்துக்கலாம் ஒரு மெசேஜ் அப்படின்னா முன்னால்
120,யாருக்காவது நம்ம எது தகவல் சொல்லனும் அப்டினா வந்து
121,பொரியர் மூலமா நோட்டீஸ் மூலம் பண்ணுவோம் ஆனா இப்பலாம் இல்ல நம்ம போன்ல மெசேஜ் பண்ணிக்கலாம் ரொம்ப யூஸ்ஃபுல்லா இருக்கு முன்னால் போன் இருக்காது ஒரு வீட்ல தான் இருக்கு அவங்க கிட்ட தான் பணம் வாங்கி பேசுவான் இப்பலாம் இல்ல எல்லாருக்குமே போன் இருக்கு
122,போன்ல வந்து ஈசியா மெயில் அனுப்பிக்கலாம் இந்த மாதிரி நிறைய விஷயங்கள் இருக்கு போன் வந்து நமக்கு ரொம்ப யூஸ்ஃபுல்லா தான் இருக்கு போட்டோஸ் நமக்கு எப்படி வேணுமோ அந்த மாதிரி எடுத்துக்கலாம்
123,முப்பது ஜூலை ஆயிரத்தி தொள்ளாயிரத்தி எழுபது
124,இருபத்தி மூனு ஜூன் ஆயிரத்தி தொள்ளாயிரத்தி எம்பத்தி அஞ்சு
125,பதினாறு நவம்பர் ஆயிரத்தி தொள்ளாயிரத்தி தொன்னூற்றி ஒன்பது இரண்டு மே இரண்டாயிரத்தி பதினெட்டு
126,இரண்டு ஜூன் இரண்டாயிரம்
127,பூனை
128,கல்வி கடன் எஜுகேஷனல் லோன் அது வந்து எதுக்கு யூஸ் ஆகுது காலேஜ் படிக்கும்போது நம்மளால வந்துட்டு பண்ண முடியல ஆனா நம்ம வந்துட்டு படிக்கணும் அப்படின்னு படிக்கணும் அப்படின்னு நினைப்போம் ஆனா அதுக்கான பண்ண முடியாது
129,அப்படி இருக்கும்போது நம்ம எஜுகேஷன் லோன் போட்டோம்னா கவர்மெண்ட்ல இருந்து அமௌன்ட் அமௌன்ட் வந்து கொடுப்பாங்க
130,அது நம்ம வந்துட்டு யூட்டலைஸ் பண்ணி நம்ம என்ன படிக்கணும் அப்படின்னு ஆசைப்படுறோமோ அது வந்து நம்ம படிக்கலாம் நான் காலேஜ் படிக்கும்போது
131,ஆ எஜுகேஷன் லோன் எதுவும் அப்ளை பண்ணி அது மூலமா படிச்சது இல்ல ஆனா என்னோட ஃபிரண்ட்ஸ்லாம் வந்துட்டு
132,இந்த எஜுகேஷன் லோன்ல வந்துட்டே படிச்சிருக்காங்க அதுக்கு என்ன பண்ணனும்னா நம்ம வந்து இந்த காலேஜ்ல படிக்கணும்
133,அப்படி அதுக்கு வந்து ஒரு அத்தாரிட்டி வேணும் அப்படிங்கிறதுக்கு போன் வாங்கி நம்ம வந்துட்டு எஜுகேஷன் அப்ளிகேஷன் வந்துட்டு பண்ணி போட்டோம் அவங்க வந்துட்டு லோன் பண்ணி நம்ம வந்துட்டு படிக்க வாங்கி நம்ம வந்துட்டு படிக்கிறதுக்கு பண்ணிக்கலாம்
134,கால்நடை வளர்ப்பின் பத்தின கிராமத்துல பாத்தீங்கன்னா ஆடு மாடுகள் கோழிகள் புறாக்கள்
135,போன்ற வகையில் தான் வழக்கம் அதுக்கு பாத்தீங்கன்னா உனக்கு பாத்தீங்கன்னா தீவனப் பயிர்
136,கழிவுகள் பொருள்கள் அதாவது பழங்கள் பப்பாளி பழம் எடுத்துக்க அதுக்கான அடுத்து மேலும் தோலை எடுத்து போட்டுட்டு போட்டுடுவோம்
137,அவங்க என்ன பண்ணுவாங்க பாத்தீங்கன்னா இயற்கை வரமா போட்டு விவசாயத்துக்கு பயன்படுத்துவாங்க அந்த விவசாய முடிந்து பயிர்கள் இயற்கை முறையில் வளர்த்து அது வந்து கால்நடை வழக்காக இல்லையா அதுக்கான வந்து போடுவாங்க
138,அதிகமா பாத்தீங்கன்னா ஆடுகள் தான் ஆடுகள் கோழிகள் போன்றதுதான் வந்து கால்நடை வழக்கம் முக்கியமா பாத்தீங்கன்னா நாய்
139,வீட்டுக்கு வந்து பாதுகாக்கக்கூடிய நாய் வந்து அதிகமா வழக்கங்கள் அதுதான் வந்து அதிகமா வந்து வழக்கங்கள் அதே மாதிரி பால் மாடு
140,மாடு வந்து அதிகம் வந்து பால் கரகத்துக்கு வந்து பயன்படுத்துறாங்க இருக்கிற குழந்தைக்கு பால் திடீர்னு கூட பசுமாட்டு பால் வந்து கொடுத்தாங்க
141,நாங்க இந்த தற்காப்பு கலையை கத்துக்கும்போது எங்களுக்கு வந்து அதிகாலை நேரத்துல வெறும் வந்துட்டு அந்த உடற்பயிற்சிகள் வெயில் மாதிரி ஒரு மணி நேரம் ரெண்டு மணி நேரம் இந்த மாதிரி செய்ய சொல்லுவாங்க அந்த சாப்பாடு அப்படிங்கறது வந்து
142,குறிப்பிட்ட டைமுக்கு அளவான சாப்பாடுதான் சாப்பிடணும் தண்ணி அதிகமா குடிக்கணும் அப்படிங்கற மாதிரி நிறைய உடல் ஆரோக்கியத்துக்கு சம்பந்தமான நிறைய நல்ல கருத்துகள் வந்துட்டு எங்களுக்கு சொல்லி கொடுத்தாங்க
143,காரைக்குள்ளக்கு சின்னமுத்துமாரின் கோயில் பெரிய முத்துமாரின் கோயில்
144,இங்க இருக்குற
145,கோட்டாச்சி கோயில் புறத்திற்கு ஸ்டூர் இந்த மாதிரி நிறைய தளங்கள் இருக்கின்றன
146,அதுல வந்து முத்துமார்மங்கோவில் வருஷம் வருஷம் பங்குனி மாசம் மிகவும் சிறப்பா திருவிழா நடக்கும் எங்க ஊர்ல அதுதான் மிகப்பெரிய திருவிழா இருக்கும் அதுதான் எங்க ஊர்ல மிகப்பெரிய பண்டிகை இருக்கும் வருஷத்துல மிகப்பெரிய பண்டிகை அப்படினா அதுதான் அதுதான் மிகவும் விமர்சையாக கொண்டாடுகிறோம்
147,ஆலி இன்னைக்கான என்னோட டூ டூ லிஸ்ட்ல என்ன இருக்கு
148,இந்தியா
149,சைனா
150,கனடா ஆஸ்திரேலியா பங்களாதேஷ்
151,கிருஷ்ணமூர்த்தி கோகுல் சாம்ராஜ் அப்பு வேலன்
152,என்னோட இன் பாக்ஸ்ல படிக்காத இமெயில் எதுவும் இருக்கா
153,ஹலோ அம்மா உணவுகள்
154,சரிங்க ஒரு வெஜிடபிள் பிரியாணி ஒண்ணு
155,லெமன் சாதம் ஒன்னு
156,தயிர் சாதம் ஒண்ணு
157,சாம்பார் சாதம் எவ்வளவுக்கு
158,ஓகேங்க
159,ஆன்லைன் மூலம் பண்ணணுமா இல்லங்க என் கையில தான் பண்ட் இருக்கு
160,உம்ம்
161,கைல கொடுத்து வாங்கிடலாமா
162,ஆன்லைன் மூலம்தான் புக் பண்ணணுமா ஐயோ என்கிட்ட தாங்க இருக்கு
163,என்னங்க செய்யலாம்
164,அப்டியா
165,சரிங்க
166,சரி என்னால கேசா தான் கொடுக்க முடியும் ஆன்லைன்ல பேமெண்ட் இல்ல
167,சரிங்க
168,நான் ரத்து பண்ணிக்கிறாங்க
169,சரிங்க வேற ஹோட்டல் வாங்கிக்கங்க
170,தேங்க்யூ
171,ஹலோ
172,உம்ம்
173,எஸ்.
174,ஆஹ் இருக்கு எல்லா வகையான கண்ணு இருக்கு பூச்செடிகள் எல்லாமே இருக்கு
175,இப்போ சென்னைக்குள்ள உரம் போடுறதுக்காக அந்த உரத்தையும் நாங்க தந்துருவோம்
176,ஒரு கண்ணு ஒரு கண்ணு வாங்குனா ஒரு கண்ணு சிறிய தருவோம்
177,நீங்க நீங்க கேக்குற வேலைக்கு நாங்க ஒரு கண்ணன் உத்தம்பர்வான விக்கிறோம் நீங்க கேக்குற மாதிரி தமிழ் பண்ணி தருவோம்
178,ஆஹ் தரேன்
179,ஆஹ் பூச்செடிகள் எல்லாம் பூச்செடி இருக்கு மாங்கன்னு தென்னங்கன்னு வாழைக்கண்ணு பலாக்கண்ணு கொய்யாக்கண்ணு எல்லாமே இருக்கு
180,வாழைக்கண்ணு எல்லாம்
181,தென்னங்கண்ணு நூத்தம்பராக்கி விக்கிறோம்
182,நூறு பாக்கி
183,உம்ம் சரி சரி
184,ஆஹ் தரேன்
185,ஆஹ் சரி
186,ஹலோ
187,ஆம் மேடம் ஒரு த்ரீ டேஸ் கடைசி நான் கொடைக்கானல் போறதா இருக்கேன் சோ அதுக்கு
188,டிராவலிங் எப்படி எவ்ளோ எப்படி எவ்ளோ பாஸ் ஆகும் அப்டின்னா கொஞ்சம் டீடெயில்ஸ் செல்ல முடியும்
189,எஸ் மேடம்
190,டோட்டலா பைவ் நம்பர் போல இருக்கும் மேடம்
191,ஆமாம்
192,ஆக்சுவலா நான் சேலத்திலிருந்து கால் பண்ணிருக்கேன் மேடம் சோ கொடைக்கானல் போகணும்
193,ஆம்
194,என்ன புரியும்
195,ஓகே ஓகே மேடம் பசிக்காரன்
196,ஓகே
197,ஓகே மேடம் காரோட இன்பர்மேஷன் கிடைக்குமா என்ன கார் அப்டினு இன்னோவா அந்த மாதிரி எதாவது
198,என்ன
199,ஆமா
200,ஓகே மேடம்
201,ஆக்சுவலா நாங்க டூ நைட் திரீ டேஸ் பிளான் பண்ணிருப்போம் அங்க போய் ஸ்டே பண்றதுக்கு
202,ப்ளீஸ் ஓகே
203,ஓகே மேடம்
204,அப்டின்னாங்க
205,ஓகே மேடம் அக்கவுண்ட் இப்போ புண்டு எல்லாமே செத்துதான் மேடம் இல்ல தனியா பாத்துக்கணும்
206,ஓகே மேடம்
207,சார் மேடம் தேங்க்யூ மேடம்
208,ஸ்டேட் விட்டு ஸ்டேட் போறாங்க ஓரளவுக்கு வயசானவங்களுக்கு தமிழ் மட்டும்தான் தெரியும் இங்கிலீஷ் ஹிந்தி தெரியாது ஆந்திராவுக்கு போனா அவங்க லாங்வேஜ் யாருக்கும் தெரியாது தமிழ் மட்டும்தான் தெரியும் அவங்க எப்படி அங்கெல்லாம் போயிட்டு மேனேஜ் பண்ணுவாங்க தெரியல
