id,conf
38, கல்லூரிகள் பள்ளிகள் கல்லூரிகள் எல்லாமே வந்துருச்சு அதெல்லாம் போய் கற்றுக்கிட்டு இப்போ
39, படிக்க முடியாதுன்னு நினச்சவங்க கூட எல்லாமே கலைகளைய கற்றுக்க ஆரம்பிச்சிட்டாங்க அதேமதிரி கைவினை பொருள்களும் அப்படிதான் இப்போ டிஜிட்டல் ஆர்ட் வந்துருச்சு அதில் எல்லாமே
40, கையில் வரைஞ்சு புக்கை பார்த்து தான் படிச்சக்கிட்டு இருந்தாங்க இப்போல்லாம் கணிப்பெறி மூலமாக வந்து தெரியாதவங்க கூட கணிப்பெறி மூலமாக கற்றுக்கிட்டு அதை எல்லாமே செய்ய ஆரம்பிச்சுட்டாங்க
41, ஹலோ ஆ சொல்லுங்கள்ா ஜி புக்
42, ஒன் ஹவர் ஒன் ஹவர் எப்போ சார் என்ன கிழமை
43, எங்கே சார் தொொலறங்க சார்
44, ஆ எப்போ சார் கொடுத்தீங்க போன வருமா
45, போன வாரம் ஒரே அங்கே அந்த அந்த கோயில் ஃபங்க்ஷன்லாம் சார் ஒ பந்தோபஸ்து போட்டு சாப்பிட்டுட்டாங்க  சேஷன் வராம் கம்ப்ளை்
46, சரி சார் சார் இப்போ நீங்கள் எங்கே இருக்கீங்க
47, இ ஒரு நாள அன்னக்கு இன்னைக்குி என்ன திங்கட்கிழமையா புதன்கிழமை போல்ங்கள் நேரடியே வந்து கம்ப்ளைண்ட் கொடுக்கீங்களா அந்த பாக்ஸ் எடுத்துட்டே வாங்க ஃபோன் வாங்கின பாக்ஸு
48, எந்த ஏரையில் சார் தொலைச்சிங்க
49, அந்த ஏரியாவில் அந்த குணசேகரன்ற மட்டும்தான் ஃபோன்ட்டுவிடுவான் நான் வே அவனை பிடிச்ச விசாரிச்ச பார்க்குறேன்
50, ஆ நீங்கள்
51, அதுட்ட சார் தும்பிட்டு தரேன் சார் நீங்கள் எடுத்துகிட்டு வாங்க ஆ வேணா தொுலைைச்சி கேர்லெஸ்ஸாக இருக்கிறது போலீஸ் காரண புடிஞச்சு லாஸ்ட்டாக சாப்பிடுக்கது பாக்ஸ் எடுத்துட்டுடு வாாங்க சார் நாளைக்கு நளைக்கு எத்துகட்டு வாங்கமா
52, அதுதான் புதன்கிழமை வருஷம் புதன்கிழமை அங்கே தான் இருப்பேங்க நீங்கள் வந்து நேரட்டாக பாருங்கள் கண்ட
53, ஒரு பதினொரு மணிக்கு போட வாங்களா கரெக்டாக
54, ஆ மறுகானம் பாக்ஸ் இருப்பாங்க சார்
55, பத்து உங்களுக்கு வேலை ஆயதுன் ஒரு ஆளே பார்க்க முடியாது சார் என்ன என்னால் அவன் முச்ச வேலைச்ச போய் தேடணும் பிடிக்கணும் அவன் திட்டுப்பாங்க சார் அ அப்புறம் அவ உங்களுக்கு அவனை கூப்பிட்டு வந்தாலே தெரிஞ்சிடும் ஃபன் யார் எடுத்துருப்பாங்கட்டு
56, ஆ நீங்கள் நாலாறு புதன்கிழமை ஒரு பதினொரு மணிக்குள்ள வந்துருங்க என்னன்ன ட்ரேஸ் பண்ணிக்கலாம் ஃபோனை பாக்ஸ்ூல இருக்காவது எடுத்துங்க சார்
57, ஆ பாக்ஸ் வந்துடாதங்க
58, ம் சரி சரி ம் நாங்கள்
59, சார் சொல்லுங்கள் சார்
60, வர்ஷாவோடய ஃபாதருங்களா சொல்லுங்கள் சார்
61, சரிங்கள்
62, சார் இப்போ வருர்ஷா லெவன்த் ஸ்டாண்டர்டு வர்ஷா தானேங்க சார் அவங்க ஃபாதர் தானே பேசுகது
63, என்ன விஷயம் சார்
64, ரெண்டு நாள் லீவ் வேணும்ன்னு கேட்குறீங்களா சார்
65, சார் இப்போ உங்களுக்கே தெரியும் லவன்த் ஸ்டாண்டர்ட் படிக்கிறாங்க இப்போ போர்ஷன்ஸ் எல்லாம் டுவெல்த் போர்ஷன்ஸே ஸ்டார்ட் பண்ணியாச்சுங்க சார் சரி இப்போ போய் ரெண்டு நாள் லீவ் வேணும்ன்னு கேட்குறது வந்து அவங்களுக்கு தான் டிஃபிகல்ட்டாக இருக்கும்
66, ரொம்ப முக்கியமான விஷயமாகா இருந்தால் நீங்கள்
67, சொல்லுங்கள் சார்
68, அப்படிங்களா
69, சரிப்பா வீட்டில் ம்
70, சார் இப்போ பாப்பாவை வீட்டில் தனியாக விட்டுட்டு போகிறதுக்கு உங்களுக்கு ப்ராப்ளமாக இருக்குது அப்படின்னா நான் இங்கே ஹாஸ்டலில் கூட கேட்டு உங்களுக்கு பர்மிஷன் வாங்கி தரேன் நீங்கள் இங்கே கூட விட்டுட்டு போகலாமேங்க சார் அப்படி எதாவது திங்க் பண்ணி பாருங்களேன்
71, சரி சார் இப்போ நீங்கள் நார்மல் கிளாஸ் ஆகச்சுன்னா நீங்கள் கேட்குறது நியாயமாக இருக்கும் சார் இப்போ சப்போஸ் எக்ஸாம்ஸ் நடந்துட்டு இருந்ததுன்னா என்ன பண்ணுறதுங்க சார் எக்ஸாம்ஸ் அந்த டைமில் நீங்கள் கேட்குற டைமில் கிளாஸ் டஸ் ஏதாவது சொல்லியிருக்காங்களா மற்ற சப்ஜெக்ட் ஸ்டாஃப்ஸேன்னு தெரியல
72, இப்போ நான் வந்து கம்ப்யூட்டர் சயின்ஸ் எடுத்துகட்டு்ருக்கேன் இப்போ  பபிசிக்ஸோ கெமிஸ்ட்ரியோ எக்ஸாம் எதாவது சொல்லியிருந்தாங்கன்னா அந்த டெஸ்ட் எப்படிங்க சார் எழுதுவது
73, சார் அது வந்து அந்த பர்ட்டிகுலர் சப்ஜெக்ட் ஸ்டாஃப் கிட்ட தான் சார் நம்ம கேட்க முடியும் அவங்க என்ன சொல்லியிருக்காங்க எதாவது அசைன்மெண்ட் கொடுத்துருக்காங்களா இல்லை டெஸ்ட் ஏதாவது வைக்கிறாங்களான்னு தெரியல
74, அது இல்லாமல் மார்க்ஸ் எல்லாம் பார்த்திங்களாங்க சார் இதுக்கு முன்னாடி நடந்த டெஸ்ட் மார்க்ஸ் எல்லாம் உங்களுக்கு வீட்டுக்கு வந்திருந்துதுங்களா
75, ஆ ஆ எல்லா சப்ஜெக்ட்லேயையும் நல்ல மார்க்குங்களா
76, அட்வான்ஸ் பர்சன்டேஜ் எவ்வளோ இருக்குங்க சார்
77, சரிங்க சார் சரி நீங்கள் இவ்வளோ கேட்குறதுனால வேணா அந்த ஒரு தடவை வேணா எக்ஸ்சீஸ் கொடுக்குறோங்க சார் முடிஞ்ச வரைக்கும் ஒரு நாளில் நீங்கள் ரிட்டன் வந்துடுற மாதிரி பாருங்கள் சார்
78, ஆ ஓகேங்க சார்
79, ஓகே சார் தேங்க் யூ
80, அஞ்சு ஏழு ஜீரோ ரெண்டு ரெண்டு ஒன்று என்னும் பின்கோடு கொண்ட பகுதியில் ஏதேனும் கட்டண கோவோவேக்ஸ் தடுப்பூசி மையம் அருகில் இருக்கிறதா
81, புது நியூஸ் டெக்
82, அந்த காலங்கள்லேருந்து இந்த காலங்களில் ஒரு சில இடத்துல செய்கிற விஷயம் என்ன அப்படின்னா வாசலில் மாட்டு சணத்தை வந்து கரைக்கிறது தான்
83, மாட்டு சணத்தில் வந்துட்டு கிருமி நாசினி இருக்கிறதுனால எந்த விதமான கிருமிகளையும் வீட்டுக்குள்ள அண்ட விடாது அப்படின்னு அறிவியல் பூர்வமாக சொல்லிக்கிட்டுருக்காங்க
84, ஆரம்ப காலத்துலலாம் வந்து எல்லார் வீட்லேயுமே வந்து இந்த மாட்டு சாணம் வந்து மொழுகின வீடாக தான் இருக்கும் ஏன்னா களிமண் வீடு அந்த வீடு எப்போ வேணாலும் தண்ணிப்பட்டு இதாகடுங்கிறதுனால வீடு ஃபுல்லாக மாட்டு சாணத்தை வச்சு மொழகி வச்சுிருப்பாங்க
85, அவனால் நம்ம முன்னோர்கள் ரொம்ப அறிவாளிங்க அவங்களுக்கு இதெல்லாம் தெரிஞ்சிருக்கு இது ஒரு கிருமி நாசினி இது இப்படிதான் பயன்படுத்தணும் அப்படின்லாம் யோசிச்சு வச்சுருக்காங்க
86, இன்னும் ஒரு ஏழாம் அறிவுன்னு ஒரு படத்தில் கூட சொல்லுவார் அந்த மூவி முடிய போகிற அந்த லாஸ்ட்டு ஒரு அஞ்சு நிமிஷத்துக்கு முன்னாடி சூர்யா வந்து ஒரு இன்டர்வியூவில் பேசுகிற மாதிரி காமிச்சிருப்பாங்க
87, மாட்டு சா எதுக்கு தண்ணி வந்து வாசலில் மாட்டு சாணத்தை தளிச்சுட்டு கோலம் படணுனா அது கிருமி நாசினி அதை விட்டுவிட்டு டிசைன் டிசைனாக ஸ்டிக்கரை வாங்கி விடறாங்க அப்படின்னலாம் சொல்லியிருப்பரு
88, அப்போது இப்போ இருக்கிற பசங்கள்லேருந்து எல்லோரும் ஐயோ மாட்டை மாட்டு சணம்ாச்சு இதெல்லாம் தொடமாட்டேன் அப்படிங்கிற ஒரு மனநிலையில் இருக்காங்க
89, எங்கள் ஊர்லயே கூட இப்போது ஒரு சில கிராமங்களில் இன்னமும் இந்த விஷயத்தை வந்து பின்பற்றிட்டே தான் இருக்காங்க ஒரு சில வீட்டில் வந்து இதெல்லாம் பண்ணாமல் இன்னமும் இருக்க தான் செய்கிறாங்க
90, என் ஏர்டெல் பேமெண்ட்ஸ் பேங்க் கணக்கில் தொண்ணூறாயிரம் இருக்குமா
91, சந்தோஷமாக
92, காட்சி
93, இனைக்கு வெயில் அடிக்குது இல்லையா
94, நாங்கள் இருக்கிற இடத்துல வந்து காடுங்க இருக்குது அங்கே வந்து காட்டு பன்னிங்க அப்புறம் பாம்பு அப்புறம் குட்டி குட்டி இந்த கடிக்கிற விஷ தந்துகள் இதெல்லாம் இருக்குது அங்கே போனால் வந்து கொ உங்களுளுக்குெல்லாம் மக்களுக்கெல்லாம் கொஞ்சம் ஆபத்து இருக்குது
95, அங்கே ஆபத்து இருக்குது அங்கே வந்து அப்புறம் அதுபக இந்த குட்டைகள் அங்களாக இருக்குது குட்டைங்கக்குள்ளே போனால் தண்ணியெல்லாம் நிறையா இருக்குது தண்ணிங அந்த தண்ணி கம்மியாக இருக்குன்னு சொல்லி இறங்கினா ஆழமாக இருந்துச்சின்னா உள்ளே போய் டெத்தாகிடுவாங்க அதனால்ால கொஞ்சம் பாதுகாப்பாக இருக்கணும்
96, விலங்குகள் வந்து அங்கே முதல இந்த மாதிரி விலங்குகள்லாம் இருக்குது கொஞ்சம் பார்த்து தான் இருக்கணும் மரங்கள்லாம் இருக்கும்போது ஒவ்வொரு மரம் கொஞ்சம் இதாக இருந்துச்சுன்னா கீழே விழுந்துடும் அதலலாம் பார்த்து பத்திரமாக தான் இருக்கணும் அந்த இருக்கும்மோ இருக்குது
97, பூங்காக்களுக்கு போனால் கொஞ்சம் பார்த்து குழந்தைங்கள்லாம் போய் அதில் போய் கை வைப்பாங்க அதில் பூச்சிங்கள்லாம் ஒவ்வொன்று கடிச்சு வைக்கும் அந்த பூ இதெல்லாம் இருக்குது அதனால் பார்த்து இது பண்ணிக்கணும் மக்
98, அங்கே அந்த கொட்டைக்கு போன துணி துவைக்கிறதுக்கல்லாம் போகலாம் போனால் பாதுகாப்பாக தான் இருப்பாங்க காட்டுக்குள்ளே விறகு வெட்டுக்கு போகும்போது இந்த ஏதோன்னு இதுக்குெல்லாம் போகும்போது குழந்தைங்க பார்த்து எல்லாருமே பாதுகாப்பாக தான் இருக்கணும்
99, ஹலோ முனியாண்டி விலாசுங்களா நான் ஃபுட் டெலிவரி பண்ணியிருந்தேங்க பாதிரையில் இருந்துேங்க சுகந்திங்கிற பேருக்கு ஃபுட் டெலிவரி வரணுன்னு ஆர்டரு போட்டிருந்தேங்க ஏங்க இங்கே மணி எட்டகி போச்சுங்க இன்னும் காணாங்க
100, நீங்கள் லேட்டவுனா முதலே சொல்லியிருக்கலாம்லலைங்க இவ்வளோ லேட் ஆகுதுங்களே ரொம்ப டைம் ஆகிப்போச்சுனா எட்டு மணிக்கே பண்ணிட்டங்களே ஏங்க இன்னும் கொண்டுட்டு வரல
101, அப்படி அவர் வரதுக்கு லேட்டாச்சுன்னா நீங்கள் வேறு ஏதாச்சும் ஏற்பாடு பண்ணிிருக்கா சொல்லியிருந்தே நான் வேறு எங்கோச்சும் ஏற்பாடு பண்ணிிருப்பேன் இலைங்க
102, சரி சரிங்க சரி அப்புறம் அப்படி இல்லைனா நீங்கள் வந்து வேற யாராச்சும் ஒருத்தரை பார்த்து ஏற்பாடு பண்ணி அனுப்பிச்சிடுங்க டைம் ஆகுதுங்க கொஞ்சம் குயிக்காக அனுப்பிச்ச்சிடுங்க நானும் அமௌண்ட் எல்லாம் ஃபோன் பே பண்ணிவிட்டேங்க
103,  பசிக்குதுங்க பயங்கரமாக நீங்கள் வந்து கொஞ்சம் சீக்கிரமாக குயிக்காக பார்த்து அவரை டிராஃபிக் ஜாம்லாம் ஆகுங்க கொஞ்சம் பார்த்து கொஞ்சம் சீக்கிரமாக அனுபிச்சிட்டிங்கன்னா அவர் வந்து ஏதாச்சும் என்னை டெலிவரிக்கு அமௌண்ட இது கேட்க போகிறாருங்க சரிங்க நீங்கள் பார்த்து அனுப்பிச்சிடுங்க பார்க்கலாம் சட்டுன்னா ம் சரிங்க ஓகேங்க சரிங்க ம் சரிங்க
104, சரிங்க பார்த்து அனுப்பச்சிவிடுங்க சீக்கிரமாக அனுப்பச்சி விடுங்க சரிங்க கரெக்டாக அந்த டைம் கொண்டா இப்போது அரை மண்ிநேரம் லேட்டுங்க இன்னும் லேட்டாயிட போகுதுங்க
105, சரிங்க லிட் பண்ணிகிட்டுருக்கறேங்க ம் கண்டிப்பாக அனுப்பிச்சி விடுங்க ஆ ஓகேங்க ரொம்ப தேங்க்ஸங்க ஆ
106, ஹலோ சார் வணக்கம் சார்
107, சார் நான் இதுமதிரி வில்லேஜில் சின்ன அக்ரிகல்ச்சர் ஷாப் ஷாப் ஓப்பன் பண்ணலான்னு இருக்கேன்
108, இப்ப ஃப்யூச்சரில் எ சார்ர் ஸ்பெசிஃபிக்காக போயிட்டு இருக்கு ரீசெட்டாக
109, சார் இப்போ வந்து காமனாக ஒரிஜினல் ப்ராடக்ட்ன்ற மாதிரி யானை மார்க்க்ு வர வந்து சொல்லிகிட்டு இருக்காங்க
110, அது வந்து சார்
111, சரிங்க
112, சார் இந்த ஒர்க்த்தில் எதது டிஸ்கவுண்ட்டு இப்போ நான் வில்லேஜில் ஷாப் ஓப்பன் பண்ண போகிறேன் டிஸ்கவுண்ட் இதெல்லாம் இருக்குங்களா சார்
113, சார் இப்போ இந்த வாரம் பார்த்திங்கன்னா பீப்புள் கம்யூனிகேஷனு போமா சார் ரீச் ஆகுமா
114, சார் மண்்பூள் ரலாம் எவ்வளோ சார் வரு சார் இருக்கு வர
115, ஆ ஆ ஆ
116, சரிங்க சார் சரிங்க சரி சரி சார் நேரில் வரேன்
117, சரிங்க சார்
118, ஃபோன் இருக்கிறது இப்போ ரொம்ப யூஸ்ஃபுல்லாக இருக்குது ஃபோன் இருந்தால் தான் இப்போ எல்லாமே இப்போது ஒரு இடத்துக்கு போனோம் அப்படனா இப்போ ஒருத்தவங்களுக்கு நம்ம இமீடியட்டாக இம்மீடியேட்டாக காசு வேணும் அப்படின்னா நம்ம உடனே நம்ம கையில் காசு அக்கௌண்டில் இருக்கும் நம்ம கையில் இருக்காது ஆனால் அவங்களுக்கு உடனே இப்போ ஜிபே பண்ணலாம் ஃபோன்பே பேடிஎம் இந்தமதிரி மூலியம காசு அனுப்பிக்கலாம் இப்போ ஒரு ஃபோன்
119, ஃபோட்டோ எடுக்கணும் அப்படின்னா முன்னெல்லாம் ஸ்டுடியோவுக்கு தான் போவோம் ஆனால் இப்போலாம் அப்படி இல்லை நம்ம நம்மளே ஃபோட்டோ எடுத்துக்கலாம் ஒரு கால் மெசேஜ் அப்படின்னா முன்னெல்லாம்
120, யாருக்காவது நம்ம இது தகவல் சொல்லணும் அப்படின்னா வந்து
121, கொரியர் மூலமாக நோட்டீஸ் மூலமாக தான் பண்ணுவோம் ஆனால் இப்போலாம் அப்படி இல்லை நம்ம ஃபோன்லயே மெசேஜ்லாம் பண்ணிக்கலாம் ரொம்ப யூஸ்ஃபுல்லாக இருக்கு முன்னலாம் ஃபோனே இருக்காது ஒரு வீட்டில் தான் இருக்கோ அவங்ககிட்ட தான் போய் நம்ம வாங்கி பேசுவோம் ஆனால் இப்போலாம் அப்படி இல்லை எல்லார் கையிலுமே ஃபோன் இருக்குது
122, ஃபோனில் வந்து ஈஸியாக மெயில் அனுப்பிக்கலாம் இந்தமிரி நிறையா விஷயங்கள் இருக்கு ஃபோன் வந்து நமக்கு ரொம்ப யூஸ்ஃபுல்லாக தான் இருக்கு ஃபோட்டோஸ்லாம் நமக்கு எப்படி வேணுமோ அந்த மாதிரி எடுத்துக்கலாம்
123, முப்பது ஜூலை ஆயிரத்த தொள்ளாயிரத்தி எழுபது
124, இருபத்தி மூணு ஜூன் ஆயிரத்த தொள்ளாயிரத்தி எண்பத்தி அஞ்சு
125, பதினாறு நவம்பர் ஆயிரத்த தொள்ளாயிரத்தி தொண்ணூற்றி ஒம்பது ரெண்டு மே ரெண்டாயிரத்த பதினெட்டு
126, ரெண்டு ஜூன் ரெண்டாயிரம்
127, பூனை
128, கல்விக்கடன் கல்விக்கடன்னா எஜுிகேஷ்னல் லோன் அது வந்துட்டு எதுக்கு யூஸ் ஆகுதுன்னா காலேஜ் படிக்கும்போது நம்ம நம்மளால் வந்துட்டு ஃபீஸ் பே பண்ண முடியல ஆனால் நம்ம வந்துட்டு இது படிக்கணும் அப்படின்னு நினச் நினச்சி நின இது படிக்கணும் அப்படின்னு நினைப்போம் ஆனால் அதில் வந்துட்டு அதுக்கான ஃபீஸ் வந்து நம்மளால் பே பண்ண முடியாது
129, அப்படி இருக்கும்போது நம்ம எஜுிகேஷன் லோன் போட்டோம்னா கவர்மெண்ட்லருந்து அமௌண்ட பே அமௌண்ட வந்து கொடுப்பாங்க
130, அதை நம்ம வந்துட்டு யூட்டிலைஸ் பண்ணி நம என்ன படிக்கணும் அப்படின்னு ஆசைப்படுறோமோ அதை வந்துட்டு நம்ம படிக்கலாம் நான் காலேஜ் படிக்கும்போது
131, எஜிகேஷனல் லோன் எதுவும் அப்ளை பண்ணி அது மூலமாக படித்ததுில்லை ஆனால் என்னோடய ஃப்ரெண்ட்ஸ்லாம் வந்துட்டு
132, இந்த எஜுிகேஷ்னல் லோனில் வந்துட்டு படிச்சிருக்காங்க அதுக்கு என்ன பண்ணுவுனா நம்ம வந்து இந்த காலேஜில் படிக்கணும்
133, அப்படி இதுக்கு அதுக்கு வந்து ஒரு அத்தாரிட்டி வேணும் அப்படிங்கறிறதுக்காக போன ஃபை்ட் வாங்கி நம்ம வந்துட்டு எஜிகேஷனல் அந்தப் அப்ளிகேஷன் வந்துட்டு அப்ளை பண்ணி போட்டோன்னா அவங்க வந்துட்டு லோன் சேங்ஷன் பண்ணி நம்ம வந்துட்டு படிக்க வைப்பாங்க அதை வாங் அதை வாங்கி நம்ம வந்துட்டு படிக்கிறதுக்கு யூட்டிலைஸ் பண்ணிக்கலாம்
134, கால்நடை வளர்ப்புனு பார்த்திங்கன்னா கிராம பக்கத்தில் பார்த்திங்கன்னா ஆடு மாடுகள் கோழிகள் புறாக்கள்
135, போன்ற வகை இது தான் வளர்க்குறாங்க அதுக்கு பார்த்திங்கன்னா உணவு பார்த்தீங்கன்னா தீவன பயிர்ு
