id,w2v
11, હ વ ે   જ ્યા ર ે   હું   ગ ો ઠ વા   પ હ ો ં ચ ી  ગ ય ો  છ ું   ત ્યા ર ે   આ પ ન ી   ગ ા ડ ી ન ા   ડ ્રા ઈ વ ર   મ ન ે  ર ૂ પ િય ા   પ ં દ ર સ ો   પ ૂ ર ા   ચ ૂ ક વ વ ા ન ી   વ ા ત   ક ર ે   છ ી   એ ટ લ ે  ક ે   ન ક ્ ક ી   ક ર ે લ ા   ભ ા ડ ા   ક ર ત ાં   ત્ર ણ   સ ો  ર ૂ પ િયા   વ ધ ા ર ે   આ   ત ો   ખ ો ટ ું છ ે   ન ે   
12, અ ત્યા ર ે  આ   ભ ા ડ ા ની   ર ક મ   હું   આ પ ન ા   ડ્ રા ઇ વ ર ને   સ ી ધ ી   ન હીં   ચ ૂ ક વુ ં   આ પ ન ા  ટ્ર ા વ ેલ ્સ  એ જ ન્ સ ી મ ાં   ર ૂ ર   આ વ ી શ   આ  અ ં ગ ે   ચ ર્ ચ ા   ક ર વ ા   મ ા ટ ે   અ થ વ ા  હ ું   ઓ ન લ ા ઇન થ ી  આ પ ણે  સ ી ધ ું   પ ે મ ે ન્ ટ   ક ર ી શ   
13, મ ન ે   આ પ ન ા  દ ્વ ા ર ા મા ં   ભ ા ડ ા મ ા ં  થ યે લ   ફ ે ર ફ ા ન ું  ય ો ગ્ય  ન થ ી   લ ા ગ ત ું   આ પ ા ન ું ધ ્ય ા ન ે   લ ે શ ું   
14, મ ા ર ે   મ ા ર ે   શ ો પ િ ંગ   ક ો ર્ ટ મા ં થ ી   ક ો લ ્ ગ ે ટ   ટ ૂ ્ર સ   અ ન ે   હ ો ર શ િ જ   એ ક સ ો ટ િ ક   ડ ા ર ્ ક હ ો   ચ ો ક લ ે   ડ ્રિ ં ક   પ ા વ ડ ર   મ િ ક ્ સ   ક ા ઢ ી  ન ા ખ વ ા   છ ે   ત ે   ઉ પ ર ા ં ત   બ્ રિ ટ ા ન િ ય ા   બ ો ર બ ો ન   ચ ો ક લ ે ટ   ક્ર ી ન   બ ે ટ સ ક ી ડ   અ ન ે   વ ા ઇ ટ   ફ ી લ ્ડ   ડ્ રિ ્ક   ચ ો ક લ ી   પ ા ઉ ડ ર   પ ણ   ક ા ઢ ી  ન ા ખ ો   
15, મ ન ે   પ ા ં ત ્ર ી   ન ે ત ે ત ા ન ી સ  વ િ સ ્ ત ા ર મ ાં   એ મ ા   દ િ શ ુ લ ્ક  ર સ ી ક ર ણ  ક ે ન ્ દ્ ર  બ ત ા વ   જ ્ય ા ં   મ ા ત્ર   અ ડ ા પ્લ સ   વ ો સ   વ ય જ ૂ થ  મ ા ટ ે   ર સ ી   મ ળ ત ી   હ ો ય   
16, મ ા ર ો   છ ે લ્લ ું  મ ન ગ મ તુ   પુ સ ્ ત ક   મ ે   વ ા ચ ય ુ   પ ં ગ લ ં ગ ે   ત ે   ગ ી ર ી   જ ે   અ ર ુ ણી મ ા ં   સ ી ંહ ન ા   જ ી વ ન   પ ર  આ ધ ા ર િ ત   છ ે   
17, એ ન ા   એ   પ ો ત ે   દ ો ડ વ ી  હ ત ી   અ ન ે   એ ન ે   ર ે લ વ ે ની  અ ં દ ર   મ ુ સ ા ફ ર ી   દ ર મિય ા ન   અ મ ુ ક   એ વ ા   ચ ો લ ટ ા ા   લ ો ક ો એ   
18, એ ન ો   સ ો ન ા ન ો   ચ ે ન  ખ ે ં ચ વા ન ો   પ્ર ય ત ્ ન  ક ર્ય ો   અ ન ે   એ ન ે   પ્ર ત ી ક ા ર   ક ર ી   અ ન ે   ચ ા લ ુ   ટ્ર ે ન મા ં   છ પ ા જ પ ી   થ ા ય   છ ે   ન ે   ચ ા લ ુ   ટ્રે ન ન ી  અ ં દ ર   
19, ન ી ચ ે   ફ ે ં ક ી  દ ે વ ા માં આ વ ે  છ ે   ની ચ ે   ફ ે ં ક ્યા   પ છ ી   આ ખ ી   ર ા ત   એ ન ી   બ ો ડ ી   બ ે ભ ા  અ વ સ્ થ ા મ ા ં   ર ે લ વે ન ા   ટ્ર ે ક   ઉ પ ર   પ ડ ી   ર હ ે  છ ે   બ ા વ ણ થ ી  વ ધ ા ર ે   ટ્ રે ન   એ ન ા   પ ર થ ી  પ સ ા ર   થ ા ય   છ ે   
20, સ વ ા ર મ ાં   બ ે   ભ ા ન વ સ્ ત ા મ ા ં   જ િ લ્લ ા ન ી   હ ો સ ્પ િ ટ લ માં   દ ા ખ લ   ક ર વ ા માં આવ ે   છ ે   છ ે   એ ન ુ     ઓ પ ર ે શ ન  થ ા ય   છ ે   
21, અ ન ે   પ છ ી   દ ે શ   દુ નિ ય ા ન ે   ખ બ ર   પ ડ ે  છ ે ક ો ઈ   અ ન   પ્ર ો બ ્ લ ેમ   થ યો   છ ે   અ ન ે  એ ન ે   પ છ ી   એ મ સ મ ાં   દ િ લ ્હ ી મ ા ં   
22, આ   ટ ્ર ી ટ મ ે ન્ટ   મ ળ ે   છ ે   અ ન ે   ડ ો ક ્ ટ ર   પ ૂ છ ે   છ ે   કે   વ ે  અ ર ુ ણ મ ાં   ત ા ર ા   જ ી વ ન ન ુ   લ ક ્ષ ્ ય   શ ું     શ ું  ક ર ી સ ત ા ર ો   એ    ક પ ી   ગ યો   છ ે   ક ે ટ લ ા  ઓ પ રે શ ન   થ યા   છ ે   
23, ત્ ાર ે  આ ર ુ ણ ી મા જ ે   જ વ ા બ  આ પ ે   છ ે   ન ે   બ હુ   મ હ ત્વ ન ો   છ ે   એ   ક હે  છ ે   ક ે   મ ા ર ે  છ ે ન ે   મ ા ઉ ન્ ટ   એ વ ર ે   સ ર   ક ર ુ ં   છ ે   આ   હ જ ા ર   ઊ ં ચ ા ઈ ન જ ે શ િ ખ ર ય ું   સ ્ વ ો ચ્ ચ   શ િ ખ ર     સ ર   ક ર વા ન ો   ન િ ર ્ણ ય  લ ે   છ ે   
24, અ ન ે   એ   પ ો ત ે   સ ર   પ ણ   ક ર ે   છ ે     મ ન ે  એ  ર ી ત ે  અ સ ર ક ર ી ક   દ િ વ ્ યા   વ્ય ક્ત િ   પ ણ   જ ો   મ ન ો   બ ળ   મ ક મ   હ ો ય   ત ો  આ ટ લ ું  સ ર સ   ક ર ી   શ ક ે   ત ો   સ ા મ ા ન ્ય   મ ા ણ સ   પ ણ   ઘ ણ ું  બ ધ ું   ક રી   શ ક ે   
25, ત મ મ ને  ત મ ા ર ા   પ ર િ વ ા ર  વ િ શ ે   જ ણ ા વ ી   શ ક શ ો   
26, હ શ ે   જ ણ ા વ ી  શ ક ી   ક ે   મ ા ર ું  ન ા મ ે   ત મ ે જ ે   પ ર િ વ ા ર   મ ા ર ા   પ ર િ વ ાર નો   પ ા ા   છ ે   
27, એ ક   મ ા ર ા   વો   છ ે   મ ા ર ા   મ મ મી   છ ે   મ ા ર ા   બ ા   છ ે ન ે   મ ા ર ભ ા ઈ   છ ે   ન ે ે   ડ ે   વ ા   છ ત ા ં   ત ્ ા ે ન મ ા   ટ ી ચ ર   ત ર ી ક ે ન ી   
28, ચ ો પ   ક ર ી  ર ્ યા   છ ે   જ ે મ ા ં   ત ે   મ ા ન સ િ ક   છ ે   મ ા ન સ િ ક   બ ા ળ ક ો  હ ો ય   મ ન ભૂ ત ી ન ા   બ ા ળ ક ો   અ ન ે   ટ ્ર ે ન િ ં ગ  અ ન ધ સ ુ  એ ક ્ ટ િ વ િ ટ ી શ ખ વ ા ડ ે   છ ે   
29, એ ે   એ ટ લું   ક ા મ   ક ર ે  છ ે  ત ે મ ા ર ા મ ા ટ ે   ઘ ર ન ી   વ ા ત  છ ે   ત ે ર ા  પ પ ા   છ ે   જ ે   
30, સ ન મ ે ા ન ી ન ે ક   ક ં પ ન ી   છ ે   અ ે   સ ુ સ મ ા   ડ ા   છ ે   પ ર ી ક ્ ષ િ ત   ક ં પ ન ી   ત ે મા ં થ ી   સ ુ પ ર મ ા ઇ ઝ ર  ત ર ી ક ે ન ી   ફ ર જ   બ જ ા વ ે  છ ે   
31, મ ા   છ ે  અ ન ે  મ ા ર છ ત ા   પ ણ   ત ે ટ લ ું   ક ા મ   ક ર ે ં  છ ે   ત ે ન ા   ઉ પ ર ન   અ ન ે   મ ા ર ુ ં  ન ા ન ું   ભ ા ઈ   છ ે   
32, ે   બ ી જ ા   ત ્ ર ણ મ ાં   પ ણ ે   છ ે   જ ે   સ ્ક ૂ લ  આ વ ે લ ી ં   છ ે   ત ્ય ાં  જ   બ ો ણ ે   છ ે   અ ન ે     પ ણ ણ   બ હ ુ   મ શ ર   છ ે   ડ ા ય ો   છ ે   
33, મ ા ર ા   બ ા   છ ે   જ ે   અ ત ્યાર ે   ઘ ર ે   છ ે   અ ન ે   હ ુ ં હ   ત ્ ા ર સ ા ન ્ સ   પ ૂ ર ું  ક ર ્યો ં   અ ને   અ ત્ યાર ે   સ ી   છ   મ 
34, અ ન ે   બ ી એ સ ી   બ ા દ   મ ા ર ે   ત ો   એ મ ન   ક ો ર સ   ક ર વા ન ો   પ િ ચ ા ર   ન શ ન   ક ો ર ્ સ   ક ર ી   શ ક ો   
35, 
36, લ   
37, બ ે   ત ા ર ી ખ   બ ે   ત ા ર ી   અ ગ િ ય ા ર   ત ર   ઉ ગ ણ ી   ત ર ી   ત ે વ ી   અ ન ે   ત ર ી ખ અ ઠ વ ી   
38, થ ો ડ ા   સ મ ય   પ હ ે લ ા   મ ા ર ા   મ ા ત ા   પ િ ત ા   સ ા થ ે  દ ્વ ા ડ ક ા   ફ ર વ ા   મ ા ટ ે   ગ ઈ   ત ી   ત ્ યાં   બ દ સ્ ટ ે શ ન   પ ર   ખ ૂ બ  જ  ભ ી ડ   હ ત ી   જ ે ર ા   ક ા ર ણ ે   બ ી ડ મ ાં   હ ુ ખ ો વ ા ઈ   ગ ઈ   એ ટ લ ે  ક ે   મ ા ર ા   મ ા ત ા   પ િ ત ા થ ી   અ લ ગ   પ ડ ી     
39, અ ન ે  હ ું  ખ ૂ બ  જ  ગ ભ ર ા ઈ   ગ ઈ  હ ત ી  અ ન ે   હ ું  ર ડ વ ા  લ ા ગ ી   ક ે   મ ન ે   ભ ા ઈ   મ ળ ્ય ા   ત ે મ ન ે   મ ન ે   પ ૂ છ ્ય ુ ં   ક ે મ   ર ડ ે   છ ે   ત મ ે   ત ે મ ન ે  ર ડ ત ા  ર હ ત ા   ક હ ્ ય ું   ક ે   હું   મ ા ર ા   મ ા ત ા   પ િ ત ા થ ી   અ લ ગ   પ ડ ી   ગ ઈ   છ ુ ં   
40, ત મ ન ે   મ ન ે   શ ા ં ત   ક ર ી   હ ુ ં   ર ડ ત ી ી   ત ે   મ ન ે   ચ ૂ પ   ક ર ા વ ી   અ ન ે   મ ા ર ા   ા ત ા   પિ ત ા ન ો   સ ં પ ર ્ક   ક ર ા વ ્ યું   આ   ઘ ટ ન ા   મ ા ર ા   મ ા ટ ે  એ ક   ય ા દ ઘ ા ર  ઘ ટ ન ા   છ ે   
41,હ ૈ લ ો   
42, હ ા મ ાં થ ી   બ ો લ ુ  છ ુ   બ ો લ ે  બ ે ન   
43, આ મ ું ક ા મ ી ન ી   બ ો લ   બ ો લ ો   
44, હ ા   મ ે ડ મ   ય ા ત ો   છ ે   બો લ ત મ ગ   
45, ન ી   ચ ા ડ ી થ ી  ત મ ન ે   ય ા દ   છ ે   
46, બ ા ં ધ ી મ ી   દ ા ડ ી  હ ત ી   
47, ક ો ણ   ક ો ન ા   ા   ત ા   
48, ત મ ા રે   સ ા ડ ી મ ા ં   ુ ક ઈ  પ્ર ો બ ્ લ ે મ   થ ઈ   છ ે   
49, લ લ ો ક ર   હ ત ું   ક ે   બ ે   ત ્ ર ણ  ક લ ર   મ િ ક   ન ા   હ ત ા   
50, હ ા     
51, હ ા   ત ા ડ ી  ત ો   બ દ લ ી  આ પ વ ા માં  આ વ ે   છ ે   પ ણ  એ મ ા ં   બ્લ ા ઉ સ ી  ખ ત ો  ખ ર ો   
52, દ ી વ ડ ા આ પ ી  દ ી ધ ુ મ   ત મ ે મ ન ી   
53, ત ો   પ છ ી   ત મ ા ર ી  જ ો ડ ે   ત ે   સ ા ડ ી ન ું   બિ લ થ ી   ખ ર ું   
54, ત ો   ત મ ે   બ િ લ   હ શ ે   ત ો  જ  ે   ત મ ન ે   સ ા ર ી   બ દ લ ી  આ પ વ ા મા ં  આવ શ ે   
55, ત મ ા ર ી   ે   
56, ત ે ની   ક િ ં મ ત   ત ી   સ ા ઢ ી ન ી   ત મ ને   ય ા દ   છ ે   ક ઈ   
57, એ ટ લ ે   ન ુ બ િ લ   ત મ ન ે   આ પ ી  જ શ ે  ત ો   બ િ લ  હ જ ે   ત ો   ત મ ન ે   સ ા ર ી  બ દ લ ી  આ પ વ ા મા ં  આ વ શ ે   
58, હ ા   ત ો   ત મ ે   બ િ લ   ત મ ે   જ ્ય ા ર ે   બ િ લ ન ે  ત મ ા ર ી   સ ા ડ ી   લ ઈ ન ે  આ વ ો  ત ્ યા ર ે  ત મ ન ે  બ દ લી  આ પ વ ા મા ં આ વ શ ે   
59, હ ા   ત મ ે   બ ે થ ી   ત્ર ણ   વ ા ગ્યા  સ ુ ધી મ ા ં   ત મ ે   ત ્ યા ર ે   ક ા ર ણ   ક ે   ત ્ ય ા ર ે  અ મ ા ર ી   ઘ ર ા બ ો ન ી   થ ો ડ ી   અ વ જ વ ર   ઓ છ ી  હો ય   છ ે   ત મ ે   ત ્ય ા ર ે  આ વ ી  શ ક ો   
60, એ ન ા   પ છ ી   ટ ા ઈ મ   ત મ ા ર ે   મ ે ર   પ ડ ત ો  હ ો ય   ત ો   આ વ ખ ર ા   પ ણ   ત ્ય ાં   ઘ ર ા ગ ી   ક દ ા ચ   વ ધ ા ર   પ ણ   હો ય   છ ે  ક ે   પ છ ી   ન ા   ટ ા ઈ મ ે   
61, ી   
62, ન ા  એ   ક લ ર   ત ો   ન હ ીં   જ ા ય   અ ન ે   ત મ ે   જ ો ઈ  ત મ ન ે   પ સ ં દ  આ વ ે  ત ે   સ ા ડ ી  ત મ ે   લ ે   જ ો   ક લ ર   ત ો   ન હીં  જ ા ય   ત ો ક ર ે   
63, ન ા ન ા   ત ો મ ે  ત મ ન ે   ખ ા ત રી   આ પ ે  છ ે   એ વુ ં ન હી ં   થ ા વ ે   ભ ૂ લ મ ા ર ા થ ી   ન હ ીં   થ ા ય   
64,   ત મ ે   આ વ   ન ા   પ હે લ ા   ત મ ે   મ ને   ક ો લ  ક ર ી   દ ે જ ો   
65, અ ન ે   હ ા   બ ે ન  ત મ ને  એ ક   વ ા ત   ક હ ું ક ે   ત મ ે   જ ે ત ે   સ ા ડ ી   બ ે  હ જ ા ર મ ાં   ખ ર ી દ ી ન ે   હ વ ે   ત મ ે   બ ી જ ી  સ ા ડ ી   ખ ર ી દ એ મ ા ં   ત મ ા ર ે   થ ો ડ ા   પ ૈ સ ા  વ ધ ા ર ે  આ પ વ ા ન ા   થ શ ે   ત ો   ચ ા લ શ ે   ે   ત મ ન ે   
66,  ત મ ને   પ ા છ ા મ ાં   લ ે વ ા ન ા   ત મ ા ર ે   થ શ ે   ત ુ ં  એ   ત મ ને   ન હીં   મ ળ ે   ં   મ પ ણ   ત મ ને   ક હ ી   દ ા ઉ   
67, 
68, 
69, 
70, પ શ ુ ઓ ન ી   સ ં ભ ા ળ  ર ા ખ વ ા   મ ા ટ ે   પ્ ર ા ક ૃ ત િ ક   અ ન ે   જ ૈ વ િ ક   પ દ ્ ધ ત િ ઓ   ઘ ણ ી   બ ધ ી   હ ો ય   છ ે   જ ે મ   ક ે   
71, ર ો ગ ે શ   પ શ ુ ઓ ન ે   અ લ ગ   ર ા ખ વ ા   જ ો ઈ એ   ર ો ગ   પ્ર ત િ ક ા ર ક   ર સ ી   આ પ વ ી   જ ો ઈ એ   જે મ ાં   પ શ ુ ઓ મા ં   ચ ે પ ી  ર ો ગ   ન   આ વ ે   ત ે   મ ા ટ ે ન ો   ર સ ી   આ પ વ ી   જ ર ૂ ર ી   છ ે   જ ે થ ી   ર ો ગ ચ ા ર ો   ખ ા ત ી   ફ ા ટ ી   ન ી ક ળ ે   ત ્ય ા ર ે   પ શ ુ ઓ ન ે   એ વ ા   ર ો ગ થ ી   બ ચ ા વ ી   શ ક ા ય   ર સ ી થ ી   વ િ ગ ત   ક ો ટ ખ ા મ ા ં   દ ર ્ શ ા વ ે લ ી   છ ે   જ ે મ   ક ે   
72, આ પ ણ ે   પ શ ુ ઓ મ ા ં   અ ં ત ર   પ ર   જ ી વ ી ન ી   હ જ ર ી થ ી   ત ે ન ા   શ ્વ ા સ થ ્ય  ઉ પ ર   ઘ ણ ી   અ સ ર   થ ા ય   છ ે   
73,ખ ો ર ા ક મ ાં   ઘ ટ ા ડ ો   ઝ ા ડ ા   ક ે ટ   ખ ૂ લ ી  જ ઉ ં   બ ે ચ ે ન ી   ર ૂ વ ા ઠ ી   
74, હ ર વ ી   વ ગ ે ર ે   લ ક ્ષ મ   જ ો વ ા   મ ળ ે   છ ે   મ ા ટ ે   આ પ ણ ે   પ શ ુ ઓ ને   સ ં ભ ા ળ   ર ા ખ વ ા   મ ા ટ ે   ભ ા ર ત ન ા   
75, દ ે શ માં   અ લ ગ અ લ ગ   પ્ર ક ા ર ન ી   જ ે   પ્રા ક ૃ ત િ ક   અ ન ે   જ ૈ વ િ ક   પ દ ્ ધ ત િ ઓ   છ ે   ત ે ન ો   સ ા ર ી  ર ી ત ે   ઉ પ ય ો ગ   ક ર વ ો   જ ો ઈ એ   જ ે થ ી   
76, પ શ ુ ઓ મ ા ં   ક ો ઈ   પ ્ ર ક ા ર ના   ર ો ગ   થ ત ા   ન થ ી   અ ન ે   ત ે મ ન ી   સ ા ળ  સ ં ભા ળ   સ ા ર ી  ર ી ત ે  ર ા ખ વ ી   જ ો ઈ એ   
77, અ ન ે   આ પ ણ ે  જ ્ યા ર ે   વ ા ત   ક ર ી એ   ક ે  આ પ ણ ા   ઘ ર મ ાં  વ ડ ી લ ો   હ ો ય   ત ો  વ ડ ી લ ો  હ ં મ ે શ ા ં  ક હે ત ા  હો ય   છ ે   ક ે   ગ ા ય પ ા ડ વ ી   ખ ૂ બ   સ ા ર ી  બ ા બ ત   છ ે   ક ા ર ણ ક ે   ગ ા ય   
78, એ ક   હ   આ પ ણ ે     આ પ ણ ા   દ ે શ મા ં   એ ન ે   મ ા ત ા   મ ા ન ી એ   છ ી એ   અ ન ે   ગ ા ય જ ે   છ ે   
79, એ ન ે   ર ા ખ વ ા થ ી   ત ે ના   દ ૂ ધ   પ ી વ ા થ ી   ઘ ણ ા  બ ધ ા   ર ો ગ ો   ન થ ી   થ ત ા   અ ન ે   ન ા   ગ ૌ મુ ત્ર મ ાં   પ ણ   ઘ ણ ી  બ ધ ી  એ વી   ત ા ક ા ત   છ ે   જ ે   ક ે ન્ સ ર  જ ે વ ી   ગ ં ભ ી ર  બ ી મ ા ર ી ન ે   પ ણ   મ ટ ા ડ ી   શ ક ે   છ ે   
80, ત મ ે   ત ે ન ે   ત મ ા ર ા   ટ ્વિ ટ ર   ફ ી ટ   ફ ે સ બ ુ ક   પ ે ચ   અ થ વ ા   ઇ ન્સ્ ટ્ રા ગ ાન  સ્ટ ો ર ી   પ ર   પ ો સ ્ટ   ક ર ી   શ ક ો  છ ો   જ ે થ ી   ક ર ી ન ે   વ ્ યુ ઝ વ ધ ે  
81,હ ા   ઘ ણ ા  એ વ ા  લ ો ક ો   હ ો ય   છ ે   ક ે   જ ે મ ન ું  પ ૂ ર ુ ં   પ ર િ વ ા ર   ખ ે ત ી મા ં   હ ો વ ા   છ ત ા ં   ત ે ઓ   ત ે મ ાં   ક ા મ   ક ર વ ા   મા ગ ત ા   ન થ ી   ક ા ર ણ   ક ે   ત ે ઓ   ખ ે ત ી મ ા ં   અ ન ે   ખ ે ત ી   ક ર વ ા મ ા ં   ત ે મ જ   ખ ે ડ ૂ ત   ત ર ી ક ે   પ ો ત ા ન ું  જ ી વ ન  ગ ુ જ ા ર વ ા મ ા ં   ર સ   ધ ર ા વ ત ા  ન થ ી   
82, ત ો   મ ા ર ો   એ વ ું  મ ા ન વ ું  છ ે   ક ે   જ ે  લ ો ક ો ન ી   આ ર ્ થ િ ક   પ ર િ સ ્ થ િ ત િ   ખ ર ા બ  હ ો ય   છ ે   જ ેઓ   પ ો ત ા ન ા   સ ં ત ા ન ો ન ે   ત ે મ જ  પ ો ત ે   સ ા ર ુ   ભ ણ ત ર   અ ન ે   સ ા ર ો  અ ભ ્યા સ   ક ર ી   શ ક ત ા   ન થ ી   
83, એ   લો ક ો   મ ા ટ ે   જ ી વ ન  ગ ુ જ ર વ ા ન ું એ ક મ ા ત્ર  સ ા ધ ન   ખ ે ત ી  હો ય   છ ે   ત ે વું   ખ ે ત ી ના  આ ધ ા ર ે   તે વું   ત ે મ ન ી   જ ી વ ન   જ ર ર ી ત ા વ ત ા   હો ય   છ ે   
84, ઘ ણ ા   લ ો ક ો   એ વ ા   પ ણ   હ ો ય   છ ે   ક ે   જ મ ની   પ ા સ ે   જ મ ી ન   સ ા ર ી  હ ો ય   છ ે   ત ો   ત ે ઓ   ખ ે ત ી   દ્વ ા ર ા   પ ણ   ન ક ર િ્ યા દ   ક ર ત ા ં   વ્ય ક ્ ત િ ઓ   ક ર ત ાં   પ ણ   સ ા ર ું   જ ી વ ન   ગ ુ જ ા ર ી   શ ક ે   છ ે   
85, ખ ે ત ી   ક ર વ ી   ક ે   પ ણ   ક ઈ   ન ા ન ું મ ો ટ ું   ક ા મ  ન થ ી   ત ે   પ ણ   ન ો ક ર ી   ક ર વ ા   જ ે વ ું     સ ા હ સ ી   ક ા મ   છ ે   ત ે મ ા ં   બ હુ   બ ધ ા   દ ુ ઃખ   પ ણ   બ ે ઠ વ ા   પ ડ ે   છ ે   બ હુ   બ ધ ું   પ ણ   ક ઈ   ત ે મ ન ે   ક ર વ ું  પ ડ ે   છ ે   જ ે ટ લ ી   મ હે ન ત   ન ો ક ર ી  ક ર વ ા મા ં   ત ે મ ને   ક ર વ ી   પ ડ ે   છ ે   ત ે ટ લ ી  જ  મ હે ન ત   તે મ ને   ખ ે ત ી   ક ર વ ા મ ાં   પ ણ   ક ર વ ી   પ ડ ે   છ ે   
86, છ ે લ્લ ા   ચ ા ર   વ ર ્ ષ   દ ર મ િ ય ા ન   ે   ઓ ્ સ િ જ ન   દ્ વ ા ર ા   જ ે   ર ે સ ્ ટ ો ર ન્ટ   ન ે   ન ા ણ ા   ચ ૂ ક   
87, 
88, મ ા ર ુ ં   ક ો વ િ દ   ર સ ી ક ર ણ   પ ્ર મ ા ણ   પ ર ત ર   પ ા ્ઠ સ ો  સ િ ત ે   ચ ા ર ્ સ ો   બ ા સ ટ   ચ ા ર ્ સ ો   સ ા ટ   પ િ સ ્ ત ા લ ી સ   મ ો વ ા ઇ લ  ન ં બ ર નુ ં  વ ો   ક ર ી ન ે   મ ે ળ વ ી લ ો ો   
89, મ હે સ ા ણ ા   જ િ લ્લ ા મ ા ં   અ ન ે ક   ઐ ત િ હ ા સ િ ક   સ્થ ળ ો  આ વ ે લ ા   છ ે   જ ે વ ા ક ે   મ ં દ િ ર ો   ઐ ત િ હ ા સ િ ક   વ ા વ   વ ગ ે ર ે   જ ે વ ા   ક ે   મ ો ઢ ે ર ા  ન ું   સ ૂ ર્ય   મ ં દ િ ર   
90, બ ો ચ ર ા જ ી મ ા ં   બ હો ચ ળ   મ ા ત ા ન ું  મ ં દ િ ર   મ ા લ ં ક ા મ ા ં   ઐ ત િ હા સ િ ક   વ ા વ   હ ં ઝ ા મ ા   મ ા ત ા ન ું મ ં દ િ ર   
91, ત ા ર ં ગ ા ન ી   ટ ે ક ર ી ઓ   મ ં દ િ ર ો   ધ ર ો ઈ   દ ે મ   વ દ ન ગ ર માં     ક ે સ ો   મ હ ા દ ે વ ન ું મ ં દ િ ર   
