id,w2v
74, அ து   ல்லா ம   மா ர்க் ல்லா ம் பா த்தீ ங்க ளா ங்க  சா ர்   இ து க்கு  மு ன்னா டி  ந ட ந்த  டெ ஸ்ட்   மா ர்க்ஸ ் ல்லா  அவ ங்க ளு க்கு   வீ ட்டு க்கு   வ ந்து ரு ந் த து ங்க ளா   
75, உ ம   எ ல்லா  ச ப் ஜெ க்ட் ல யும் ந ல்ல மா இர்க்கு ங்க ளா   
76,ம த்த ந ன்  ப த் தின் டே ்  எவ் ளோ இருக்கி ங் ச ர்   
77, ச ி ங்  சா ர்   ச நை ங்க  இ வ் ளோ  கே க்கு ற து   நா ளு  வே ண் ணா   ்த   ஒ ரு   த ரோ  வே ணா  எ க் ீ ஸ் கு டு க்கு றோ ங்க  சா ர்   மு டி ஞ் ச வ ரைக்கு ம்  ஒ ரு   நா ள்   நீ ங்க   ரிட்ட ்ன  வ ந்து டு ற  மாத ரி   பா ரு ங்க  சா ர்   
78, த ்   தோ க் கி   
79, த கை த த்   த ன் ்  
80, அ ஞ் சு   ஏ ழு   ஜீ ரோ   ரெ ண் டு   ரெ ண் டு  ஒ ன் னு  எ ன் னு ம்  பி ன் கோ டு  கொ ண் ட   ப கு தி கி ல்  ஏ தெ னு ம்  க ட் ட ண   கோ வெ க்ஸ்   த ட பு சி மை யு ம்  வ ரு கி ல்   இ ரு க்கி ற தா   
81, ஒ தூ ்   யூ ஸ்  டெ ர்   
82, இ ந் த க்  கா ல ங் க ளி ரு ந் து   இ ந் த க   கா ல ங் க ள்   ஒ ரு  சி ல  இ ட த்து ல   செ ய்ய ற  வி ஷ ய ம்   எ ன் ன  அப் டி னா   வா ச ல் ல   மா ட்டு  செ ல் ல த் து   வ ந் து   க ரை க் கி ற து   தா ன்   
83, மா ட் டு   ச ன்ன த த ல   வ ந் து ட்டு   கி ரு ம்பி னா ச னி  இ ரு க்கு ற த ு னா ல   எ ந் த  வி த மா ன  கி ருமபி க ளை யு ம்  வீ ட்டு க்கு ள்ளா ண் ட  வி டா து   அ ப் டி னு   அ றி பி ய ல் பூ ர் வ மா  சொல்லி ி ட் டு ரு க்கா ங் க   
84, ஆ ர ம்ப   கா ல த் து ல லா ம்   வ ந் து   எ ல் லா ர்  வீ ட் ல யு மே   வ ந் து   இ ந் த   மா ட் டு   சா ன   வ ந் து   மொ ழு க ன  வீ டா  தான் இ ருக் கு ம்   எ னா   க ளி ம ண் ு வீ டு   அ ந் த   வீ டு  எ ப் ப   வே ணா லு ம்   த னி ப் ப ட் டு   இ தா கி ரு ங்க ு ற த னா ல   வீ டு   ஃபு ல் லா   மா ட்ட  செ ல த்த வ ச் சு   மொ ழி வு  வ ச்சி ரு ப்பா ங் க   
85,ஆ னா  ந ம்ம  மு ன் னூ ர் க ள்   ரொ ம் ப  அ றி வா ளி க   அ வ ங் க ளு க் கு  இதெ ல்லா ம்  தெ ரி ஞ் சி ருக் கு  இ து ரு   கி ரு வி னா ச னி   இ து  இ ப்ப டி தா ன்   ப ய ன் ப டு த்த னோ ம்   அ ப் டி ன் னா   யோ சிச்சு வ ச்சி ருக்கா ங்க   
86, இ ன் னு   ஒ ரு   ஏ ழா ம்  ம றி வு னு  ஒ ரு   ப ட த் து ல  கூ ட  சொ ல் லு வா ரு   அ ந் த   மூ வி  மு டி ய   போ ற   அ ந் த   லா ஸ்ட்   ரு  அ ஞ்சு நி மிஷ த்துக்கு  மின்னா டி ே   சூ ரி யா  வ ந் து  ஒ ரு  இ ன்ட ர்வி யூ ல   பே ச ற  மா தி ரி   க மிச்சி ரு ப்பா ங்க   
87, மா ட் டு   எ து க் கு  த ண் ணி   ந் து  வா ச ல   மா ட்டு   ச ன த ்   தி னி ச் சி ட் டு   கோ ல ம ் பொ ட ணு ம் னா   அ து கி ரி மி ா சி ரி   அ த  வி ட்டி டு   டி சை ் டி ச  ஸ்ட விக் க ர ்   வா ங்கி  உ ட் றா ங்க   அ ப் டி ன் னா   சொல் லி ருப்பா ரு   
88, அ ப் போ   இ ப் ப  இ ரு க் கு ற   ப ச ங்க ள் லே ரு ந் து  எ ல் லா ரு ம்   யோ   மா ட் டா   மா ட் டு ச ன ம ா ச் சி  இ தெ ல்லா ம் தொ ட   மா ட் டே ன்   அ ப் ப டி ங்க ற  ஒ ரு  ம ன நி லை ல  இரு க்கா ங்க   
89, இ ங் க  ஊ ர் ளே யே   கூ ட   இ ப் போ   ஒ ரு   சி ல   கி ரா ம ங் க ள் ள   இ ன்னு மோ   இ ந் த   வி ரி ஷ த்த  வ ந் து   பி ன் ப ட்டி ட்டு  தான்  இ ருக்கா ங்க   ஒ ரு  சி ல  வீ ட்ட ல   வ ந ் து   இ தெ ல்லா ம்   ப ண் ணா ம  இ ன்னு மும் இ ருக்க  தா ன்   செ ய்ய றா ங்க   
90, எ ன்  ஏ ல் ட ல்   பே மெ ன்ஸ்   பே ங்க்     க ண க் கி ல்   தொ ன் னூ ரா யி ர ம்  இ ர்க் கு மா   
91, ச ந் தோ ஷ மா க   
92, கா ன் சி   
93, நெ க் கி ல்   வெ ய் யி ல்   அ டி க் கு து   இ ல் லை யா   
94, நா ங் க  இ ருக்கு ற  அ ட த்து ல  வ ந்து   கா டு ங ்க  இ ருக்கு து   அ ங்க   வ ந் து   கா ட்டு   ப ண் ணீ ங் க   பா ம் பு   பு   குட்டிக ்கு ட்டி   ந் த   க டிக்க ற   வெ ச த ந் து ள்   இ தெ ல்லா ம் இ ருக்கு து   அ ங்க   போ னா   வ ந் து   உ ங் க ளுக் கு ல்லா ம்   ம க் க ளுக்கு ல்ல  கொ ஞ் சம்  ஆ ப த் ு   இருக்க ு ோ   
95, கா ப த் தி ருக்கு து அ ங்க   வ ந் து   அ ப் ப ற ம் அ து   போ க   ்த   கு ட் டை க ள்  அ ங் க ள  இ ரு க்கு  க ட் டை ங்க ் கு ள   போ னு   த ண் ணி ல  நி றை யா   இ ருக்கு   த அ ந் த   த ண்ணி   க ம்மி யா இருக்குன்னு  சொல் லி   எ ற ங்கு னா   ஆ ள மா   இரு க் ் சி ன்ன  உ ள் ள   போ ய்  டெ த்  ா யி ரு வா ங்க  அத னா ல  கொ ஞ்ச ம்  பா து கா ப்பா  இ ருக்கோ னு   
96, வி ல ங்கு க ள்   வ ந் து   அ ங் க   மு த ல் ல   இ ந்த  மா த ி ரி   வி ல ங்கு க ள்  இ ருக்கு து   கொ ஞ்ச ம்  பா த்து தா ன் இ ரு க்க ணு ம்   ம ர ங்க ல் லா   இருக்கு ம் போ து   ஒ வ் வொ ரு   மா ற ம்  கொ ஞ் ச ம்  இ தா ர இரு ந் து ச் சி ன் னா   கீ ழ   வி ழு ந் து ரு ம்   அ து ல ல்லா ம்   பா த்து  ப த்த ர மா  தா ன்  இ ரு க்க ணு ம்   அ ந் த இ ரு க்கு ம இ ரு க்கு து   
97, பூ ங் க க் க ள ் க   போ ன  கொ ஞ் ச ம்  பா த்து   கொ ழ ந்தை ங்க ல்லாம் போ ய்  அ து ல  போ ய்  கை   வை ப்பா ங் க   அ த   பூ ச்சி ங்க ல்லாம்  ஒவ் வொன்னு  க டி ச்சு   வை க் கு ம்   அ ந் த   இ தெ ல்லா ம்  இ ருக்கு து  அ த னா ல  பா த் து   இ து  ப ண் ணி க்க ணு ம்     
98, அ ங் க   அ ந் த   கொ ட்டை க்கு   போ   து ணி த் து வை க்கி ருக்க லா   போ க லா   போ னா  பா து கா ப்பா  தா ன் இ ருப் பா ங்க   கா ட்டுக்குள்ளா  வி ற கு  வெ ற் று க் கு  போ கு ம் போ து   இ ந் த   ஏ தோ ன் னு ம்   இ து க்கு ல்லா ம   போ கு ம் போ து  கு ழ ந் தை  பா த் து   எ ல் லா ரு மே   பா து கா ப்பா  தா ன்  இ ரு க்க ணு ம்   
99, ஹ லோ   மு னி யா ண டி  வி ளா சு ங்க ளா   நா ்   பு ண் டெ லீ ல்  பண் ணி ரு ந்து ங்க   பா த ரி ல   ரு ந் து ங்க   சு த ந் தி ங் க ற   பே ரு க் கு   பு ண் டெ லி ல்   ப ண் ணு ம் னு  ஆ டு போ ட்டு ருந் து ங்க   ஏ ங் க எ ங்க  ம ணி  எ ட் டா யி   போ ச் சு ங்க   இ ன் னு ்   கா ணா ங் க   
100, நீ ங்க   லே ட்டா ுன் னு   முத லி  சொ ல் லி ருக்க லா ல  எ ம் ளோ லே ட் டா கு து ங்க ளே   ரொ ம் ப   டை ம் இப்பு  சி ன்னை த் து ம னிக்க   ப ண்ணி ட்டீ ங்க ளே   ஏ ங்க  எ ன  கொ ண் டு ட் டொ ரு ல   
101,அப்படி  அவ ரு  வ ர துக் கு   லே ட்டா ச் சு னா  நீ ங்க  வே ற றா ச் சு  ஏ ர்பா ட்   பண் ணி ருக்க லா ம்   சூ ழி தான    வே றெ  எ ங்க ச  சு  ர்பா ட்  ண்ணி ருப்பு ்லீ ங்க   
102, ச ரி   ச ரி ங்க   ச ரி   அ ப் பு ற ம்    அ ப் ப டி  இ ல்லி னா  நீ ங்க   வ ந் து   வே ற  யா ரா ச் சு  ஒ ரு த ர  பா த் து  ஏ ற்பா டு  ப ண் ணி   அனுப்ப ச்சு டு ங்க   டை ம் கு து ங்க   கொ ஞ்ச ம்   கு விக்கா  அனுபிச்சு டு ங்க  நா னு ம்     அ மௌ ண்டெ லா ம்   ஃபோ ன்  பே  ப ண் ணி ட்டு ங்க   
