id,ref
26,ஆர்பிட்லையே குடுத்துடவா அது நானூறுவா வராது நானூத்தி எண்பதுரூவா கிட்ட வரும் அது
27,அதுன்னா நாலு மண் நேரம் நீங்க சார்ஜ் போட்டு வச்சிக்கிங்க சிக்ஸ் ஹவர்ஸ் பேக்கப் குடுக்கும்
28,ஆ அது நார்மலா நீங்க காப்பர் வச்சி கூட யூஸ் பண்ணிக்கலாம்
29,ஆ நீங்க சார்ஜ் போட்டு ஒரு நாலு மண் நேரம் சார்ஜ் போட்டு ஏத்தி வச்சிருந்தீங்கன்னா கரண்ட்டு பெயிட்டுன்னா அதுவா எரியும்
30,அதுக்கு லைட் ஆன்லையே இருக்கணும் அப்டின்னு அவசியம் இல்ல ஃபஸ்ட்டு நீங்க ஜார்ஜு போட்ற வரைக்கும் ஒரு நாலு மண் நேரம் ஜார்ஜு போட்ற வரைக்கும் லைட்டு எரிஞ்சா போதும் அதுக்கப்புறம் நீங்க ஆஃப் பண்ணிக்கிங்க கரண்ட் போனவொன்னே நீங்க ஆன் பண்ணா கூட லைட் எரியும்
31,அந்த சிஸ்டம் ஆ அது எரியும்
32,அதெல்லாம் நீங்க நா ஈவினிங் போல வர்றேன் இப்ப நா ஒரு ஒர்க்கா இருக்கேன் அத முடிச்சிட்டு நா ஈவினிங் போல வர்றேன் பாத்து குடுத்துறேன் நீங்க லொக்கேஷன் மட்டும் அனுப்பிவுடுங்க
33,ம் சேரி ஓகே
34,கலை ஆகட்டும் கைவினை பொருள்கள் ஆகட்டும் முதலில் எல்லாமே கைகளால வரஞ்சி
35,அது வந்து செஞ்சிகிட்டு இருந்தாங்க இப்பெல்லாம் உலகம் உலகளாவிய எல்லா உலகத்துலருக்குற எல்லாத்தையுமே பாத்துக்கிட்டு த்ரீ டி ஆர்ட் வந்துருச்சி த்ரீ டி மாதிரியே இப்போ நம்ம நெஜமாவே பாக்குற மாதிரியே எல்லாமே
36,செய்ய ஆரமிச்சிட்டாங்க அதே மாதிரியே மொதல்ல எல்லாம் குருகுலம் மாதிரி இன்னொருத்தவங்கட்ட போயி அவங்க வீட்லையே இருந்து அவங்களுக்கான பணிவிடைகள் செய்து தான் கலைகள கத்துக்கிட்டு இருந்தாங்க இப்பெல்லாம் அப்டி இல்ல
37,பள்ளி படிக்கிற மாதிரியே பாடம் படிக்கிற மாதிரி கலைகளுக்கான பள்ளிகளும் திறக்கப்பட்ருச்சி நெறையா எடத்துல இப்போ கலைகள் கத்துக்கிறதுக்காக
38,கல்லூரிகள் பள்ளிகள் கல்லூரிகள் எல்லாமே வந்துருச்சி அதுல போயி கத்துக்கிட்டு இப்ப
39,படிக்க முடியாதுன்னு நெனச்சவங்க கூட எல்லாமே கலைகளையே கத்துக்க ஆரமிச்சிட்டாங்க அதே மாரி கைவினை பொருட்களும் அப்டி தான் இப்ப டிஜிட்டல் ஆர்ட் வந்துருச்சி அதுல எல்லாமே
40,கைல வரைஞ்ச புக்க பாத்து தான் படிச்சிக்கிட்டு இருந்தாங்க இப்பெல்லாம் கணிப்பொறி மூலமா வந்து தெரியாதவங்க கூட கணிப்பொறி மூலமா கத்துக்கிட்டு அதே எல்லாமே செய்ய ஆரமிச்சிட்டாங்க
41,ஹலோ ஆ சொல்லுங்க ஜி புக்
42,போன வாரம் எப்ப சார் என்ன கெழமை
43,எங்க சார் சொல்றீங்க
44,ஆ எப்போ சார் குடுத்தீங்க போன வாரமா
45,போன வாரம் அந்த கோயில் ஃபங்க்ஷன்ல தான் சார் ஒரு பந்த போஸ்த்து போட்டு சாவடிச்சிட்டாங்க ஸ்டேஷன்ல எல்லாரையும் கம்ப்ளைண்டு
46,சரி சார் சரி நீங்க எங்க இருக்கீங்க
47,செரி ஒரு நாளான்னைக்கு இன்னைக்கி என்னா திங்கக்கெழமையா புதன் கெழமை போல நீங்க நேரடியா வந்து கம்ப்ளைன்ட் குடுக்குறீங்களா அந்த பாக்ஸ் எடுத்துட்டு வாங்க ஃபோன் வாங்குன பாக்ஸு
48,எந்த ஏரியால சார் தொலச்சிங்க
49,அந்த ஏரியால அந்த குணசேகரன்றவன் மட்டும் தான் ஃபோன் திருடுவான் நா வேணா அவன புடிச்சி விசாரிச்சி பாக்குறேன்
50,ஆ நீங்க
51,சார் நீங்க எடுத்துட்டு வாங்க ஆவூன்னா தொலச்சிட்டு கேர்லெஸ்ஸா இருக்கறது போலீஸ்காரன புடிச்சி லாஸ்ட்டா சாவடிக்கிறது பாக்ஸ் எடுத்துட்டு வாங்க சார் நாளைக்கு நாளான்னைக்கு எடுத்துட்டு வாங்க புதன் கெழமை
52,அது தான் புதன் கெழமை வர சொன்னேன் புதன் கெழம நா அங்க தான் இருப்பேன் நீங்க வந்து நேரடியா பாருங்க கண்டுபுடிச்சிடுவோம்
53,ஒரு பதினோரு மணி போல வாங்களேன் கரெட்டா
54,ஆ மறக்காம பாக்ஸ் எடுத்துட்டு வாங்க
55,பத்து மணி உங்களுக்கு வேல ஆயிடும் ஓ ஒரு ஆளே பாக்க முடியாது சார் என்ன என்னால குணசேகரன் போய் தேடணும் புடிக்கணும் அவன் ஒரு திருட்டு பையன் சார் அப்பறம் உங்களுக்கு அவன கூப்ட்டு வந்தாலே தெரிஞ்சிரும் ஃபோன் யாரு எடுத்துருப்பாங்கன்ட்டு
56,ஆ நீங்க நாளான்னைகு புதன் கெழமை ஒரு பதினோரு மணி போல வந்துருங்க அது என்னென்னு ட்ரேஸ் பண்ணிக்கலாம் ஃபோன பாக்ஸு மறக்காம எடுத்துட்டு வாங்க சார்
57,ஆ பாக்ஸ் மறந்துடாதீங்க
58,ம் சேரி சார் ம் வாங்க வாங்க
59,சார் சொல்லுங்க சார்
60,வர்ஷாவோட ஃபாதருங்களா சொல்லுங்க சார்
61,செரிங்க
62,சார் இப்ப வர்ஷா லெவன்த்து ஸ்டாண்டர்ட் வர்ஷாதானுங்க சார் அவுங்க ஃபாதர் தான பேசுறது
63,என்ன விஷியோங்க சார்
64,ரெண்டு நாள் லீவ் வேணுன்னு கேக்குறீங்களா சார்
65,சார் இப்ப உங்களுக்கே தெரியும் லெவன்த்து ஸ்டாண்டர்ட் படிக்கிறாங்க இப்ப போர்ஷன்ஸ் எல்லாம் டுவல்த் போர்ஷன்ஸே ஸ்டார்ட் பண்ணியாச்சுங்க சார் சார் இப்ப போய் ரெண்டு நாள் லீவ் வேணுன்னு கேக்குறது வந்து அவுங்களுக்கு தான் டிஃபிகல்ட்டா இருக்கும்
66,ரொம்போ முக்கியமான விஷியமா இருந்தா நீங்க
67,சொல்லுங்க சார்
68,அப்டிங்களா
69,செரி சார் வீட்ல ம்
70,செரி சார் பாப்பாவ வீட்ல தனியா விட்டுட்டு போறத்துக்கு உங்களுக்கு ப்ராப்ளமா இருக்குது அப்டின்னா நா இங்க ஹாஸ்டல்ல கூட கேட்டு உங்களுக்கு பர்மிஷன் வாங்கித்தரேன் நீங்க இங்க கூட விட்டுட்டு போலாமேங்க சார் அப்டி எதாவுது திங்க் பண்ணி பாருங்களேன்
71,செரி சார் இப்ப நீங்க நார்மல் கிளாஸ் ஹவர்ஸுன்னா நீங்க கேக்கறது ஞாயமா இருக்கும் சார் இப்ப ஏ சப்போஸ் எக்ஸாம்ஸ் நடந்துட்ருந்ததுனா என்ன பண்றதுங்க சார் எக்ஸாம்ஸ் அந்த டைம்ல நீங்க கேக்குற டைம்ல கிளாஸஸ் எதாவுது சொல்லிருக்காங்களா மத்த சப்ஜெக்ட் கிளாஸ்ஸே எனக்கு தெரியில
72,இப்ப நா வந்து கம்ப்யூட்டர் சயின்ஸ் எடுத்துட்ருக்கேன் இப்ப ஃபிசிக்ஸோ கெமிஸ்ட்ரியோ எக்ஸாம் எதாவுது சொல்லிருந்தாங்கன்னா அந்த டெஸ்ட் எப்டிங்க சார் எழுதுறது
73,சார் அது வந்து அந்த பர்ட்டிகுலர் சப்ஜெக்ட் ஸ்டாஃப் கிட்ட தான் சார் நம்ம கேக்க முடியும் அவுங்க என்ன சொல்லியிருக்காங்க எதாவுது அசைன்மெண்ட் குடுத்துருக்காங்களா இல்ல டெஸ்ட் எதாவுது வெக்கிறாங்களான்னு தெரியில
74,அது இல்லாம மார்க்ஸுலாம் பாத்திங்களாங் சார் இதுக்கு முன்னாடி நடந்த டெஸ்ட்டு மார்க்ஸுலாம் உங்களுக்கு வீட்டுக்கு வந்துருந்துதுங்களா
75,ஆமா எல்லா சப்ஜெக்ட்லையும் நல்ல மார்க்குங்களா
76,அட்டனென்ஸ் பர்சென்டேஜ் எவ்ளோ இருக்குங்க சார்
77,செரிங்க சார் செரி நீங்க இவ்ளோ கேக்கறதனால வேண்ணா இந்த ஒரு தடவ வேணா எக்ஸ்யூஸ் குடுக்குறோங்க சார் முடிஞ்ச வரைக்கும் ஒரு நாள்ல நீங்க ரிட்டர்ன் வந்துர்ற மாரி பாருங்க சார்
78,ம் ஓகேங்க சார்
79,ஓகே சார் தேங்க்யூ
80,அஞ்சி ஏழு ஜீரோ ரெண்டு ரெண்டு ஒன்னு எனும் பின்கோடு கொண்ட பகுதியில் ஏதேனும் கட்டண கோவோவேக்ஸ் தடுப்பூசி மையம் அருகில் இருக்கிறதா
81,புது நியூஸ் டெக்
82,அந்த காலங்கள்லேருந்து இந்த காலங்கள்ல ஒரு சில எடத்துல செய்ற விஷியோம் என்ன அப்டின்னா வாசல்ல மாட்டு சாணத்த வந்து கரைக்கறதுதான்
83,மாட்டு சாணத்துல வந்துட்டு கிருமி நாசினி இருக்கறதுனால எந்தவிதமான கிருமிகளையும் வீட்டுக்குள்ள அண்டவிடாது அப்டின்னு அறிவியல் பூர்வமா சொல்லிக்கிட்ருக்காங்க
84,ஆரம்பக் காலத்துலல்லாம் வந்து எல்லார் வீட்லயுமே வந்து இந்த மாட்டு சாணம் வந்து மொழுகுன வீடாதான் இருக்கும் ஏனா களிமண் வீடு அந்த வீடு எப்போ வேணாலும் தண்ணிப்பட்டு இதாகிருங்கிறதுனால வீடு ஃபுல்லா மாட்டு சாணத்த வச்சி மொழுவி வெச்சிருப்பாங்க
85,ஆனா நம்ப முன்னோர்கள் வந்து ரொம்ப அறிவாளிங்க அவுங்களுக்கு இதெல்லாம் தெரிஞ்சிருக்கு இது ஒரு கிருமி நாசினி இது இப்டி தான் பயன்படுத்தணும் அப்டின்லாம் யோசிச்சி வச்சிருக்காங்க
86,இன்னும் ஒரு ஏழாம் அறிவுன்னு ஒரு படத்துல கூட சொல்லுவாரு அந்த மூவி முடியப் போற அந்த லாஸ்ட்டு ஒரு அஞ்சி நிமிஷத்துக்கு முன்னாடி சூர்யா வந்து ஒரு இண்டர்வீயூல பேசுற மாதிரி காமிச்சிருப்பாங்க
87,மாட்டு சா எதுக்கு தண்ணி வந்து வாசல்ல மாட்டு சாணத்த தெளிச்சிட்டு கோலம் போடணுன்னா அதுவொரு கிருமி நாசினி அத விட்டுட்டு டிசைன் டிசைனா ஸ்டிக்கர வாங்கி ஒட்றாங்க அப்டின்லாம் சொல்லிருப்பாரு
88,அப்போ இப்ப இருக்குற பசங்கள்லேருந்து எல்லாரும் அய்யோ மாட்டா மாட்டு சாணமா ச்சீ இதெல்லாம் தொடமாட்டேன் அப்டிங்கிற ஒரு மனநிலையில இருக்காங்க
89,எங்க ஊர்லயே கூட இப்போ ஒரு சில கிராமங்கள்ல இன்னுமும் இந்த விஷியத்த வந்து பின்பற்றிட்டே தான் இருக்காங்க ஒரு சில வீட்ல வந்து இதெல்லாம் பண்ணாம இன்னுமும் இருக்க தான் செய்றாங்க
90,என் ஏர்டெல் பேமெண்ட்ஸ் பேங்க் கணக்கில் தொண்ணூறாயிரம் இருக்குமா
91,சந்தோஷமாக
92,காட்சி
93,இன்னைக்கு வெயில் அடிக்குது இல்லையா
94,நாங்க இருக்குற எடத்துல வந்து காடுங்க இருக்குது அங்க வந்து காட்டுப்பன்னிங்க அப்றம் பாம்பு அப்றம் குட்டி குட்டி இந்த கடிக்கிற விச தந்துகள் இதெல்லாம் இருக்குது அங்க போனா வந்து இவுங்களுக்குல்லாம் மக்களுக்குல்லாம் கொஞ்சம் ஆபத்து இருக்குது
95,அங்க ஆபத்து இருக்குது அங்க வந்து அப்பறம் அது போக அந்த குட்டைகள் அங்கலாம் இருக்கு குட்டைங்கக்குள்ள போனா தண்ணியெல்லாம் நறையாருக்கு தண்ணிங் அந்த தண்ணி கம்மியாருக்குன்னு சொல்லி எறங்குனா ஆழமாருந்துச்சின்னா உள்ள போயி டெத்தாயிருவாங்க அதுனால கொஞ்சம் பாதுகாப்பா இருக்கோணும்
96,விலங்குகள் வந்து அங்க முதல இந்தமாரி விலங்குகள்லாம் இருக்குது கொஞ்சம் பாத்து தான் இருக்குணும் மரங்கள்லாம் இருக்கும்போது ஒவ்வொரு மரம் கொஞ்சம் இதா இருந்துச்சின்னா கீழ விழுந்துரும் அதுலலாம் பாத்து பத்தரமாதான் இருக்கோணும் அந்தமா இருக்கும் இருக்குது
97,பூங்காக்கள்க்கு போனா கொஞ்சம் பாத்து கொழந்தைங்கள்லாம் போயி அதுல போயி கை வப்பாங்க அந்த பூச்சிங்கள்லாம் ஒவ்வொன்னு கடிச்சு வைக்கும் அந்த பூ இதெல்லாம் இருக்குது அதுனால பாத்து இது பண்ணிக்கணும்
98,அங்க அந்த கொட்டைக்கு போ துணி தொவைக்கிறக்குலாம் போகுலாம் போனா பாதுகாப்பா தான் இருப்பாங்க காட்டுக்குள்ள வெறகு வெட்றக்கு போகும்போது இந்த இது ஒன்னு இதுக்குல்லாம் போகும்போது கொழந்தைங்க பாத்து எல்லாருமே பாதுகாப்பாதான் இருக்குணும்
99,ஹலோ முனியாண்டி விலாஸுங்களா நா ஃபுட்டு பண்ணிருந்தேங்க சுகந்திங்குற பேருக்கு ஃபுட் டெலிவரி பண்ணணுன்னு ஆர்ட்ரு போட்டுருந்தேங்க ஏங்கங்க மணி எட்டு ஆயி போச்சுங்க இன்னும் காணுங்க
100,நீங்க லேட்டா வந்தா முதல்லயே சொல்லிருக்கலாம் இல்லிங்க இவ்ளோ லேட்டா ஆவுதுங்களே ரொம்ப டைம் ஆயி போச்சு நான் எட்டு மணிக்கே பண்ணிட்டிங்களே ஏங்க இன்னும் கொண்டுட்டு வர்ல
101,அப்புடி அவுரு வர்றத்துக்கு லேட்டாச்சுனா நீங்க வேற எதாச்சும் ஏற்பாடு பண்ணிருக்கலாங் சொல்லிருந்தா நா வேற எங்கையாச்சும் ஏற்பாடு பண்ணிருப்பேன் இல்லிங்க
102,சேரி சேரிங்க சேரி அப்பறம் இங்க அப்டி இல்லினா நீங்க வந்து வேற யாராச்சும் ஒருத்தர பாத்து ஏற்பாடு பண்ணி அனுப்ச்சுடுங்க டைம் ஆவுதுங்க கொஞ்சம் குயிக்கா அனுப்ச்சுடுங்க நானும் ஃபோ அமௌண்ட்டுலாம் ஃபோன்பே பண்ணிட்டேங்க
103,ம் பசிக்குதுங்க பயங்கரமா நீங்க வந்து கொஞ்சம் சீக்கிரமா குயிக்கா பாத்து அவர டிராஃபிக் ஜாமுலாம் ஆவுங்க கொஞ்சம் பாத்து கொஞ்சம் சீக்கிரமா அனுப்ச்சுட்டிங்கனா அவரு வந்து எதாச்சும் என்ன டெலிவரிக்கி அமௌண்ட் கிது கேக்க போறாருங்க ம் சேரிங்க நீங்க பாத்து அனுப்ச்சுடுங்க பாக்கலாம் சட்டுனா ம் சேரிங்க ஓகேங்க சேரிங்க ம் சேரிங்க
104,சேரிங்க பாத்து அனுப்ச்சுடுங்க சீக்கிரமா அனுப்ச்சுடுங்க சேரிங்க கரெக்டா அந்த டைம்கு கொண்டாந்து இப்போ அர மண் நேரம் லேட்டுங்க இன்னும் லேட்டாயிற போதுங்க
105,சேரிங்க வெயிட் பண்ணிட்டு இருக்குறேங்க ம் கண்டிப்பா அனுப்ச்சுடுங்க ஆ ஓகேங்க ரொம்ப டேங்க்ஸ்ங்க ஆ
106,ஹலோ சார் வணக்கம் சார்
107,சார் நா இது மேரி வில்லேஜுல சின்ன அக்ரிகல்ச்சர் ஷாப் ஷாப் ஓப்பன் பண்லானு இருக்கேன்
108,இப்ப ஃப்யூச்சர்ல எது சார் பெசிஃபிக்கா போய்ட்டு இருக்கு ரீசண்டா
109,சார் இப்ப வந்து காமனா ஒரிஜினல் ப்ராடக்ட் இந்த மேரி யான மார்க்கு வரும் அப்டின்னு சொல்லிட்டு இருக்காங்க
110,அது வந்து
111,சரிங்
112,சார் இந்த ஒர்க்குல டிஸ்கௌண்ட்டு இப்போ நா வில்லேஜுல க ஷாப் ஓப்பன் பண்ண போறேன் டிஸ்கௌண்ட் இதுலாம் இருக்குங்களா சார்
113,சார் இப்ப இந்த வாரோம் பாத்தீங்கன்னா பீப்பிள் கம்யூனிகேஷன் போவுமா சார் ரீச்சாகுமா
114,சார் மன்சூல் ஒரலாம் எவ்ளோல சார் வருது ஏருக்கு வாரோம்
115,ஆ ஆ ஆ
116,சேரிங்க சார் சேரிங்க சார் சேரி சார் நா நேர்ல வாரேன்
117,சேரிங்க சார்
118,ஃபோன் இருக்கறது இப்ப ரொம்ப யூஸ்ஃபுல்லா இருக்கு ஃபோன் இருந்தா தான் இப்ப எல்லாமே இப்போ ஒரு எடத்துக்கு போனோம் அப்டீன்னா இப்போ ஒருத்தவுங்களுக்கு நம்ம இமீடியன்டா இம்மீடியட்டா காசு வேணும் அப்டீனா நம்ம ஒடனே நம்ம கைல காசு அக்கவுண்ட்ல இருக்கும் நம்ம கைல இருக்காது ஆனா அவுங்களுக்கு ஒடனே இப்ப ஜிபே பண்ணலாம் போன் பேடிஎம் இந்தமேரி மூலயமா காசு அனுப்பிக்கலாம் இப்போ ஒரு ஃபோன்
119,ஃபோட்டோ எடுக்கணும் அப்டீனா முன்னெலாம் ஸ்டூடியோக்கு தான் போவோம் ஆனா இப்போலாம் அப்டி இல்ல நம்ம நம்மளே ஃபோட்டோ எடுத்துக்குலாம் ஒரு கால் மெசேஜ் அப்டீனா முன்னலாம்
120,யாருக்காது நம்ம இது தகவல் சொல்லணும் அப்டீனா வந்து
121,கொரியர் மூலமா நோட்டீஸ் மூலமா தான் பண்ணுவோம் ஆனா இப்போலாம் அப்டி இல்ல நம்ம போன்லியே ஃமெசேஜ்லாம் பண்ணிக்கிலாம் ரொம்ப யூஸ்ஃபுல்லா இருக்கு முன்னலாம் ஃபோனே இருக்காது ஒரு வீட்ல தான் இருக்கும் அவுங்க கிட்ட தான் போய் நம்ம வாங்கி பேசுவோம் ஆனா இப்பலாம் அப்டி இல்ல எல்லாரு கையிலியுமே ஃபோன்ருக்கு
122,ஃபோன்ல வந்து ஈஸியா மெயில் அனுப்பிக்கலாம் இந்தமேரி நறைய விஷயங்கள்ருக்கு ஃபோன் வந்து நமக்கு ரொம்ப யூஸ்ஃபுல்லா தான் இருக்கு ஃபோட்டோஸ்லாம் நமக்கு எப்பிடி வேணுமோ அந்தமேரி எடுத்துக்குலாம்
123,முப்பது ஜூலை ஆயிரத்தி தொள்ளாயிரத்தி எழுவது
124,இருவத்தி மூணு ஜூன் ஆயிரத்தி தொள்ளாயிரத்தி எண்பத்தி அஞ்சி
125,பதினாறு நவம்பர் ஆயிரத்தி தொள்ளாயிரத்தி தொண்ணூத்தி ஒம்போது ரெண்டு மே ரெண்டாயிரத்தி பதினெட்டு
126,ரெண்டு ஜூன் ரெண்டாயிரம்
127,பூனை
128,கல்விக்கடன் கல்விக்கடன்னா எஜுகேஷனல் லோன் அது வந்துட்டு எதுக்கு யூஸ் ஆகுதுன்னா காலேஜ் படிக்கும் போது நம்ம வ நம்பளால வந்துட்டு ஃபீஸ் பே பண்ண முடியில ஆனா நம்ப வந்துட்டு இது படிக்கணும் அப்டினு நெனச் நெனச்சு நெனத் இது படிக்கணும் அப்டினு நெனைப்போம் ஆனா அதுல வந்துட்டு அதுக்கான ஃபீஸ் வந்து நம்பளால பே பண்ண முடியாது
129,அப்பிடி இருக்கும்போது நம்ப எஜுகேஷனல் லோன் போட்டோம்னா கவர்மெண்ட்லேருந்து அமௌண்டு பே அமௌண்டு வந்து குடுப்பாங்க
130,அத நம்ப வந்துட்டு யுட்டிலைஸ் பண்ணி நம்ப என்ன படிக்கணும் அப்டினு ஆசப்பட்றோமோ அத வந்து நம்ப படிக்கலாம் நான் காலேஜ் படிக்கும் போது
131,எஜுகேஷனல் லோன் எதுவும் அப்ளை பண்ணி அது மூலமா படிச்சதில்ல ஆனா என்னோட ஃப்ரெண்ட்ஸ்லாம் வந்துட்டு
132,இந்த எஜுகேஷனல் லோன்ல வந்துட்டு படிச்சிருக்காங்க அதுக்கு என்னா பண்ணணும்னா நம்ம வந்து இந்த காலேஜ்ல படிக்கணும்
133,அப்பிடி இதுக் அதுக்கு வந்து ஒரு அத்தாரிட்டி வேணும் அப்டிங்கிறதுக்காக போனஃபைட் வாங்கி நம்ப வந்துட்டு எஜுகேஷனல் அந்த அப்ளிகேஷன் வந்துட்டு அப்ளை பண்ணி போட்டோன்னா அவுங்க வந்துட்டு லோன் சாங்க்ஷன் பண்ணி நம்ப வந்துட்டு படிக்க வெப்பாங்க அத வந் அத வாங்கி நம்ப வந்துட்டு படிக்கிறதுக்கு யுட்டிலைஸ் பண்ணிக்கலாம்
134,கால்நடை வளர்ப்புன்னு பாத்திங்கன்னா கிராமம் பக்கத்துல பாத்திங்கன்னா ஆடு மாடுகள் கோழிகள் புறாக்கள்
135,போன்ற வகைகள தான் வளக்குறாங்க அதுக்கு பாத்திங்கன்னா உணவு பாத்திங்கன்னா தீவன பயிரு
136,கழிவுகள் பொருட்கள் அதாவது பழங்கள் நம்போ இப்போ பப்பாளி பழோம் எடுத்துக்கிட்டிங்கனா அதுக்கான அறுத்து மேல இருக்குற தோல எடுத்துப் போட்டுட்டு போட்ருவோம்
137,அது அவுங்க என்னா பண்ணுவாங்க பாத்திங்கன்னா இயற்கை உரமா போட்டு விவசாயத்துக்கு பயன்படுத்திடுவாங்க அந்த விவசாயம் மூலியமா வந்து பயிர்கள் இயற்கை முறையில வந்து வளத்து அத வந்து கால்நடை இது வளக்குறாங்க இல்லையா அதுக்கான வந்து போட்ருவாங்க
